212,266,Rom.JCh,"אלוף רומניה צעיר",,49
187,220,RSM-CH,,,16
38,39,RTU-CH,,,33
18,19,RUS.CH,"אלוף רוסיה",,6666
198,238,RUS.GCH,"אלוף על רוסיה ",,840
186,219,RUS.JCH,"אלוף רוסיה צעיר",,3175
329,389,S.JCH,"אלוף שבדיה צעיר",,8
58,60,SAF.CH,"אלוף דרום אפריקה",,60
344,417,"SAN.MAR J.CH","אלוף סן מרינו צעיר",,6
153,165,SAN.MAR.CH,"אלוף סן מרינו",,35
516,550,San.Mar.V.CH,"Veteran San Marino CH","אלוף סן מרינו קשיש",2
255,317,"SCH III",,,63
254,316,"SCHH 2",,,84
252,315,"SCHH I",,,194
349,422,SCHH3,שוצהונד,,315
361,437,SE.UCH,"SE UCH","אלוף שוודיה שבדיה",103
132,145,SERB&MON-CH,"אלוף סרביה ומונטנגרו",,80
291,363,SERB&MON.JCH,"אלוף סרביה ומונטנגרו צעיר",,7
183,216,SF-CH,,,16
192,228,"SG CH",,,19
124,136,SH-CH,,,93
74,81,SJ-CH,,,3
108,119,SK.CH,"אלוף סלובקיה ",,258
307,382,SK.GCH,"אלוף על סלובקיה",,22
9,248,SK.JCH,"אלוף סלובקיה צעיר",,66
164,176,SLO.CH,"אלוף סלובניה",,414
149,163,SLO.GCH,"אלוף על סלובניה",,29
162,174,SLO.JCH,"אלוף סלובניה צעיר",,58
551,717,SLO.SH.CH,"אלוף תערוכות סלובניה","ch sow slovenij",2
550,716,SLO.VCH,"אלוף סלובניה קשיש",,1
227,286,SLV-CH,,,73
311,387,SM.CH,"אלוף סאן מרינו",,19
428,283,SPA.CH,".אלוף ספרד",,64
173,205,SR-CH,,,160
332,405,SRB-GCH,"אלוף על סרביה",,16
249,309,SRB.CH,"אלוף סרביה",,302
392,336,Srb.JCH,"אלוף סרביה צעיר",,82
185,218,SRI.JCH,"אלוף סרי לנקה צעיר",,23
359,433,SRI.LAN.CH,"אלוף סרי לנקה",,16
90,100,"SU CH",,,87
136,150,Sw.CH,"אלוף שבדיה",,314
337,410,SWE.CH,"אלוף שבדיה",,250
137,151,SWI.CH,,,47
16,17,SWISS.CH,"אלוף שוויץ",,59
522,99,SWISS.JCH,"אלוף צעיר שוויץ","SWISS Junior CHAMPION",6
353,427,TAJ.CH,"אלוף טייוואן",,15
275,339,TH.CH,"אלוף תאילנד",,115
382,476,TH.GCH,"אלוף על תאילנד",,4
84,92,TLV.JW'01,"מנצח תל אביב צעיר 2001",,49
224,281,TLV.JW-10,"מנצח תל אביב צעיר 2010",,82
