321,401,,"מנצח מז' אירופה",,0,
107,118,,,,1,
189,223,,,,10,
211,265," FCI BH","FCI BH",,518,
515,549,23-EW,"מנצח אירופה 2023","European Winner 2023",1,
514,548,23-JEW,"מנצח אירופה צעיר 2023","Junior European Winner 2023",3,
380,469,????,,,0,
415,268,????,.,,0,
213,267,????,0,,0,
49,51,A.CH,"אלוף אוסטריה",,109,
393,343,A.JCH,"Junior Champion",,20,
405,497,A0,"מבחן התאמה לאג'יליטי",,5,
449,498,A1,"מבדק התאמה לאג'יליטי",,0,
450,499,A2,"מבדק התאמה לאג'יליטי",,0,
451,500,A3,"מבדק התאמה לאג'יליטי",,0,
473,531,AG.CH,"אלוף אג'יליטי ישראלי",,6,
471,529,AG1,"אג'יליטי 1",,33,
472,530,AG2,"אג'יליטי 2",,11,
490,545,AG3,"אג'יליטי 3",,5,
500,620,AGW-22,"אלוף אג'יליטי 2022","Agility Winner 2022",2,
528,7000,AGW-23,"אלוף אג'יליטי 2023","Agility Winner 2023",3,
553,7001,AGW-24,,"Agility Winner 2024",4,
461,519,"AKC CH","אלוף אמריקה",,4,
560,627,ALB.CH,"אלוף אלבניה","Albania Champion",1,
117,128,ALL-CH,,,37,
163,175,AM.CH,"אלוף ארה""ב",,1176,
287,359,AM.GCH,"אלוף על ארה""ב",,40,
277,342,"AMERICAS .CH","אלוף אמריקס",,1,
106,117,ARG.CH,"אלוף ארגנטינה",,39,
309,385,ARG.GCH,"אלוף על ארגנטינה",,5,
386,481,ARM.CH,"Champion of Armenia",,15,
499,610,Arm.JCH,"אלוף צעיר ארמניה","אלוף צעיר ארמניה",1,
145,160,ASTCH,,,51,
63,65,AUS.CH,"אלוף אוסטרליה",,202,
130,143,AUS.GCH,"אלוף על אוסטרליה",,11,
133,147,AUTR-CH,,,18,
330,399,AZB-JCH,"אלוף אזרבייג'ן צעיר",,11,
278,344,AZB.CH,"אלוף אזרבייג'ן",,123,
23,24,B.CH,"אלוף בלגיה",,88,
525,69,BAH.JCH,"אלוף בחריין צעיר","אלוף בחריין צעיר",1,
79,87,BALK.CH,"אלוף בלקן",,324,
378,466,BALK.GCH,BALK.GCH,,3,
241,301,BALK.JCH,"אלוף בלקן צעיר",,16,
105,116,BALT.CH,"אלוף בלטיק",,370,
265,319,BALT.JCH,"אלוף בלטיק צעיר",,41,
116,127,BELG.CH,,,263,
148,162,BELG.GCH,"אלוף על בלגיה ",,8,
115,126,BelgJCH,"אלוף בלגיה צעיר",,12,
362,438,BG.CH,BG/CH,,214,
480,538,BH,"מבלן עבודה",,25,
