385,479,GR.V.CH,"Greece Veteran Champion",,2,
91,101,GRAND.CH,"אלוף על",,469,
40,41,H.CH,"אלוף הונגריה","Hungaria Champion",786,
13,14,H.GCH,"אלוף על הונגריה",,108,
176,209,H.JCH,"אלוף הונגריה צעיר","Hungaria Junior Champion",434,
498,506,H.SH.CH,"Hungaria Show Champion","Hungaria Show Champion",3,
421,448,H.VCH,"אלוף הונגריה קשיש","Hungaria Veteran Champion",9,
75,82,HK.CH,"אלוף הונגקונג",,5,
51,53,HR.CH,"אלוף קרואטיה",,312,
432,455,HR.GCH,"אלוף על קרואטיה",,13,
201,241,HR.JCH,"אלוף קרואטיה צעיר",,76,
536,622,HR.SH.CH,"אלוף תערוכות קרואטיה","אלוף תערוכות קרואטיה",2,
17,18,HS.CH,,,109,
233,293,I-CH,,,105,
161,173,IB-CH,,,96,
53,55,ICELAND-CH,,,5,
539,700,IGP1.SV,"מבחן עבודה-גרמניה",IGP1.SV,5,
540,705,IGP2.SV,"מבחן עבודה-גרמניה",IGP2.SV,3,
3,3,IL.CH,"אלוף ישראל",,5795,
464,522,IL.CH.2018,"אלוף ישראל IGP",,1,
463,521,IL.CH.2019,"אלוף ישראל IGP",,1,
462,520,IL.CH.2020,"אלוף ישראל IGP",,3,
454,512,"IL.CH.IGP 2020","אליפות ישראל IGP ",,0,
532,2024,IL.CH.IGP2024,"אליפות ישראל FCI IGP 2024","אליפות ישראל FCI IGP 2024",1,
556,6666,IL.CH.IGP2025,"אליפות ישראל FCI IGP 2025",IL.CH.IGP2025,2,
284,356,IL.ChOfCh09,"אלוף האלופים ישראל 2009",,1,
283,355,IL.ChOfCh10,"אלוף האלופים ישראל 2010",,0,
286,358,IL.ChOfCh11,"אלוף האלופים ישראל 2011",,1,
120,131,IL.GCH,"אלוף על ישראל",,1633,
126,138,IL.J.CAC,"מועמד לאליפות ישראל צעיר",,148,
83,91,IL.JCH,"אלוף ישראל צעיר",,4094,
365,442,IL.VCH,"אלוף ישראל קשיש",,292,
54,56,"INT+D-CH,",,,6,
2,2,INT.CH,"אלוף יופי בינלאומי",,4487,
511,6000,INT.JCH,"אלוף יופי צעיר בינלאומי",,20,
202,242,INT.SH.CH,"אלוף תערוכות בינלאומי",,72,
531,6001,INT.VCH,"אלוף יופי קשיש בינלאומי",INT.VCH,9,
350,423,IP1,"אי פי",,4,
474,532,"IPO FH","אליפות העולם בגישוש",,1,
94,104,IPO1,,,548,
182,215,IPO2,,,150,
59,61,IPO3,,,542,
96,107,IRE.CH,"אלוף אירלנד",,48,
383,477,IRE.JCH,"אלוף צעיר אירלנד",,3,
43,44,IRISH-CH,"אלוף אירלנד",,8,
456,514,IRL.CH,"Irland Champion",,2,
134,148,ISPU-CH,,,26,
508,703,Isr.Ch.2023,Isr.Ch.2023,"FCI IGP3",1,
62,64,ITA.CH,"אלוף איטליה",,476,
299,372,ITA.JCH,"אלוף איטליה צעיר",,18,
