table,column,human_name,used_count,total_w2,used_pct,grade,should,notes,date_filter
breedings,price_per_dog,Price Per Dog,91,3363,2.71,F,shouldn't,,created_at
breedings,review_price,Review Price,91,3363,2.71,F,shouldn't,,created_at
breedings,certificate_price,Certificate Price,91,3363,2.71,F,shouldn't,,created_at
breedings,total_payment,Total Payment,91,3363,2.71,F,shouldn't,,created_at
breedings,total_refund,Total Refund,3,3363,0.09,F,shouldn't,,created_at
breedings,less_than_8_years,Less Than 8 Years,3363,3363,100.00,A,should,,created_at
breedings,more_than_18_months,More Than 18 Months,3363,3363,100.00,A,should,,created_at
breedings,status,Status,3363,3363,100.00,A,should,,created_at
breedings,responsiable_owner,Responsiable Owner,0,3363,0.00,F,shouldn't,,created_at
breedings,created_at,Created At,3363,3363,100.00,A,should,,created_at
breedings,created_by,Created By,3363,3363,100.00,A,should,,created_at
breedings,updated_at,Updated At,0,3363,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
breedings,deleted_at,Deleted At,131,3363,3.90,F,shouldn't,,created_at
breedings,breeding_house_id,Breeding House Id,1615,3363,48.02,A,should,,created_at
breedings,Breeding_ManagerID,Breeding Manager Id,28,3363,0.83,A,should,Likely foreign key; verify relation mapping.,created_at
breeding_flow_req,id,Id,6,6,100.00,A,should,,created_at
breeding_flow_req,Breeding_Dog_id,Breeding Dog Id,6,6,100.00,A,should,,created_at
breeding_flow_req,Req_id,Req Id,6,6,100.00,A,should,,created_at
breeding_flow_req,user_id,User Id,6,6,100.00,A,should,,created_at
breeding_flow_req,answer,Answer,6,6,100.00,A,should,,created_at
breeding_flow_req,created_at,Created At,6,6,100.00,A,should,,created_at
breeding_flow_req,updated_at,Updated At,6,6,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
breeding_related_dog,id,Id,14856,14856,100.00,A,should,,created_at
breeding_related_dog,temparory_name,Temparory Name,14702,14856,98.96,A,should,,created_at
breeding_related_dog,chip_number,Chip Number,14692,14856,98.90,A,should,,created_at
breeding_related_dog,sagir_id,Sagir Id,14281,14856,96.13,A,should,,created_at
breeding_related_dog,color,Color,14725,14856,99.12,A,should,,created_at
breeding_related_dog,other_color,Other Color,122,14856,0.82,F,shouldn't,,created_at
breeding_related_dog,gender,Gender,14702,14856,98.96,A,should,,created_at
