table,column,window,total,empty_count,non_empty_count,non_empty_pct,distinct_non_empty,notes
Shows_Dogs_DB,ShowRegistrationID,W1,43072,0,43072,100.00,43007,
Shows_Dogs_DB,GlobalSagirID,W1,43072,12,43060,99.97,2538,
Shows_Dogs_DB,OwnerID,W1,43072,43072,0,0.00,0,Unused here
Shows_Dogs_DB,ShowID,W1,43072,0,43072,100.00,321,
Shows_Dogs_DB,ClassID,W1,43072,0,43072,100.00,28550,
Shows_Dogs_DB,GenderID,W1,43072,12,43060,99.97,2,
Shows_Dogs_DB,MainArenaID,W1,43072,12,43060,99.97,681,
Shows_Dogs_DB,ArenaID,W1,43072,7,43065,99.98,688,
Shows_Dogs_DB,ShowBreedID,W1,43072,43072,0,0.00,0,
Shows_Dogs_DB,new_show_registration_id,W1,43072,43060,12,0.03,11,
Shows_Dogs_DB,OwnerEmail,W1,43072,23866,19206,44.60,,avg_len≈19.65
Shows_Dogs_DB,OwnerMobile,W1,43072,27139,15933,36.99,,avg_len≈10.20
Shows_Dogs_DB,created_at,W1,43072,43060,12,0.03,,
Shows_Dogs_DB,BreedID,W2,23823,0,23823,100.00,184,Authoritative → BreedCode
Shows_Dogs_DB,SagirID,W2,23823,0,23823,100.00,5759,
Shows_Dogs_DB,ShowRegistrationID,W2,23823,0,23823,100.00,23656,
Shows_Dogs_DB,GlobalSagirID,W2,23823,23823,0,0.00,0,
Shows_Dogs_DB,OwnerID,W2,23823,23823,0,0.00,0,Unused here
Shows_Dogs_DB,ShowID,W2,23823,0,23823,100.00,531,
Shows_Dogs_DB,ClassID,W2,23823,3,23820,99.99,15990,
Shows_Dogs_DB,GenderID,W2,23823,0,23823,100.00,2,
Shows_Dogs_DB,MainArenaID,W2,23823,23823,0,0.00,0,Unused post-2022
Shows_Dogs_DB,ArenaID,W2,23823,1130,22693,95.26,835,
Shows_Dogs_DB,ShowBreedID,W2,23823,23226,597,2.51,126,Sparse
Shows_Dogs_DB,new_show_registration_id,W2,23823,3,23820,99.99,23656,
Shows_Dogs_DB,OwnerEmail,W2,23823,106,23717,99.56,,avg_len≈20.50
Shows_Dogs_DB,OwnerMobile,W2,23823,4,23819,99.98,,avg_len≈8.99
shows_results,RegDogID,W1,8307,0,8307,100.00,,match to registration id = 0
shows_results,SagirID,W1,8307,0,8307,100.00,,match to DogsDB = 165
shows_results,ClassID,W1,8307,0,8307,100.00,,match to Classes = 8307
shows_results,ShowID,W1,8307,0,8307,100.00,,match to Shows = 8307
shows_results,MainArenaID,W1,8307,0,8307,100.00,,match to Arenas = 8307
shows_results,SubArenaID,W1,8307,8307,0,0.00,,Unused
shows_results,BreedID,W1,8307,25,8282,99.70,,match to BreedCode = 8282
shows_results,RegDogID,W2,21561,0,21561,100.00,,match to registration id = 0
shows_results,SagirID,W2,21561,0,21561,100.00,,match to DogsDB = 21560
shows_results,ClassID,W2,21561,0,21561,100.00,,match to Classes = 21561
shows_results,ShowID,W2,21561,0,21561,100.00,,match to Shows = 21561
shows_results,MainArenaID,W2,21561,0,21561,100.00,,match to Arenas = 21561
shows_results,SubArenaID,W2,21561,21561,0,0.00,,Unused
shows_results,BreedID,W2,21561,0,21561,100.00,,match to BreedCode = 21561
shows_registration,ClassID,W1,460,460,0,0.00,,match to Classes = 0
