show_id,registration_id,payments_count,total_amount
1378,16716,1,330
1378,16717,1,330
1378,16725,1,460
1378,16726,1,460
1378,16727,1,460
1378,16732,1,175
1378,16733,1,175
1378,16737,1,350
1378,16740,1,175
1378,16742,1,330
1378,16743,1,330
1378,16746,1,175
1378,16747,1,120
1378,16749,1,175
1378,16750,1,175
1378,16755,1,460
1378,16756,1,460
1378,16757,1,460
1378,16769,1,175
1378,16777,1,175
1378,16784,1,450
1378,16785,1,450
1378,16786,1,450
1378,16790,1,175
1378,16793,1,175
1378,16804,1,175
1378,16806,1,175
1378,16807,1,155
1378,16810,1,130
1378,16812,1,120
1378,16817,1,175
1378,16822,1,175
1378,16824,1,175
1378,16826,1,330
1378,16827,1,330
1378,16833,1,175
1378,16839,1,120
1378,16842,1,175
1378,16844,1,295
1378,16845,1,295
1378,16851,1,175
1378,16858,1,175
1378,16859,1,155
1378,16867,1,175
1378,16874,1,700
1378,16875,1,700
1378,16876,1,700
1378,16877,1,700
1378,16878,1,700
1378,16881,1,175
1378,16888,1,175
1378,16890,1,240
1378,16894,1,175
1378,16895,1,460
1378,16896,1,460
1378,16897,1,460
1378,16913,1,175
1378,16915,1,175
1378,16921,1,175
1378,16922,1,175
1378,16925,1,175
1378,16931,1,175
1378,16935,1,295
1378,16936,1,295
1378,16940,1,225
1378,16943,1,175
1378,16947,1,175
1378,16952,1,175
1378,16953,1,175
1378,16958,1,175
1378,16959,1,175
1378,16968,1,295
1378,16969,1,295
1378,16973,1,175
1378,16979,1,460
1378,16980,1,460
1378,16981,1,460
1378,16982,1,120
1378,16983,1,175
1378,16988,1,175
1378,17026,1,175
1378,17262,1,175
1378,17265,1,460
1378,17266,1,460
1378,17267,1,460
1378,17274,1,175
1378,17276,1,175
1378,17281,1,330
1378,17282,1,330
1378,17283,1,175
1378,17288,1,175
1378,17291,1,175
1378,17299,1,120
1378,17301,1,175
1378,17310,1,175
1378,17316,1,105
1378,17319,1,120
1378,17321,1,175
1378,17329,1,460
1378,17330,1,460
1378,17331,1,460
1378,17334,1,175
1378,17336,1,120
1378,17340,1,645
1378,17341,1,645
1378,17342,1,645
1378,17343,1,645
1378,17344,1,645
1378,17353,1,175
1378,17356,1,120
1378,17362,1,330
1378,17363,1,330
1378,17367,1,175
1378,17369,1,175
1378,17377,1,295
1378,17378,1,295
1378,17383,1,330
1378,17384,1,330
1378,17392,1,450
1378,17393,1,450
1378,17394,1,450
1378,17399,1,330
1378,17400,1,330
1378,17404,1,175
1378,17410,1,175
1378,17411,1,175
1378,17416,1,330
1378,17417,1,330
1378,17427,1,175
1378,17433,1,430
1378,17434,1,430
1378,17435,1,330
1378,17436,1,330
1378,17439,1,175
1378,17442,1,175
1378,17444,1,120
1378,17447,1,175
1378,17451,1,175
1378,17457,1,330
1378,17458,1,330
1378,17459,1,330
1378,17460,1,330
1378,17466,1,580
1378,17467,1,580
1378,17468,1,580
1378,17469,1,580
1378,17475,1,120
1378,17483,1,175
1378,17485,1,175
1378,17487,1,175
1378,17493,1,330
1378,17494,1,330
1378,17502,1,330
1378,17503,1,330
1378,17506,1,330
1378,17507,1,330
1378,17509,1,175
1378,17514,1,175
1378,17515,1,1085
1378,17516,1,1085
1378,17517,1,1085
1378,17518,1,1085
1378,17519,1,1085
1378,17520,1,1085
1378,17521,1,1085
1378,17522,1,1085
1378,17523,1,1085
1378,17524,1,1085
1378,17528,1,175
1378,17530,1,175
1378,17533,1,175
1378,17551,1,330
1378,17552,1,330
1378,17553,1,175
1378,17558,1,175
1378,17561,1,175
1378,17564,1,175
1378,17570,1,175
1378,17574,1,175
1378,17578,1,175
1378,17588,1,330
1378,17589,1,330
1378,17593,1,175
1378,17594,1,175
1378,17599,1,460
1378,17600,1,460
1378,17601,1,460
1378,17614,1,275
1378,17615,1,275
1378,17618,1,330
1378,17619,1,330
1378,17625,1,175
1378,17631,1,160
1378,17632,1,160
1378,17654,1,565
1378,17655,1,565
1378,17656,1,565
1378,17657,1,565
1378,17665,1,500
1378,17666,1,500
1378,17667,1,500
1378,17673,1,175
1378,17679,1,175
1378,17680,1,175
1378,17684,1,175
1378,17692,1,175
1378,17696,1,330
1378,17697,1,330
1378,17698,1,80
1378,17699,1,175
1378,17706,1,460
1378,17707,1,460
1378,17708,1,460
1378,17712,1,175
1378,17713,1,175
1378,17716,1,175
1378,17720,1,175
1378,17724,1,175
1378,17727,1,175
