show_id,arena_id,breed_code,breed_name_he,breed_name_en,judge_id,judge_name_he
1378,2174,167,"קולי קצר שיער","Collie smooth",64,"ראכלין דורון"
1378,2174,10,"כלב צאן אנגלי עתיק ","OLD ENGLISH SHEEPDOG",64,"ראכלין דורון"
1378,2174,128,"בירדד קולי","Bearded Collie",64,"ראכלין דורון"
1378,2174,100,"בריארד ",Briard,64,"ראכלין דורון"
1378,2174,153,"כלב זאב צ'כי ","Czechoslovakian Wolfdog ",64,"ראכלין דורון"
1378,2174,16,"כלב רועים שטלנדי ","Shetland Sheepdog",64,"ראכלין דורון"
1378,2174,158,"כלב רועים אוסטרלי ","Australian Shepherd",64,"ראכלין דורון"
1378,2174,1022,"קלפי אוסטרלי","Australian Kelpie",64,"ראכלין דורון"
1378,2174,555,"כלב רועים אמריקאי ננסי","Miniature American Shepherd",64,"ראכלין דורון"
1378,2174,20,"וולש קורגי פמברוק ","Welsh Corgi Pembroke",64,"ראכלין דורון"
1378,2174,99,"וולש קורגי קרדיגן","Welsh Corgi Cardigan ",64,"ראכלין דורון"
1378,2174,126,"כלב רועים בלגי-מלינוואה","Belg. Shepherd-Malinois",64,"ראכלין דורון"
1378,2174,27,"סקיפרקה ","Schipperkee ",64,"ראכלין דורון"
1378,2174,113,"ספרינגר ספניאל אנגלי","Eng. Springer Spaniel",64,"ראכלין דורון"
1378,2174,34,"קוקר ספניאל אנגלי ","English Cocker Spaniel",64,"ראכלין דורון"
1378,2174,116,"וולש ספרינגר ספניאל ","WELSH SPRINGER SPANIEL",64,"ראכלין דורון"
1378,2174,127,"קוקר ספניאל אמריקאי ","American Cocker Spaniel",64,"ראכלין דורון"
1378,2174,180,"כלב מים פורטוגזי ","PORTUGUESE WATER DOG",64,"ראכלין דורון"
1378,2174,1021,"כלב מים ספרדי","Spanish Water Dog",64,"ראכלין דורון"
1378,2174,22,"בוקסר ","BOXER ",199,"טל יפה"
1378,2174,6,"פינצ'ר ננסי ","Min. Pinscher",199,"טל יפה"
1378,2175,162,"קאנה קורסו ","Cane Corso",174,"סוניה קלוורי פיליפו"
1378,2175,68,"דוג דה בורדו ","Dogue de Bordeaux ",174,"סוניה קלוורי פיליפו"
1378,2175,118,"בול מסטיף ","Bull Mastiff ",174,"סוניה קלוורי פיליפו"
1378,2175,25,"מסטינו נפוליטנו ","Mastino Napoletano",174,"סוניה קלוורי פיליפו"
1378,2175,36,"שנאוצר בינוני שחור ","Schnauzer Black ",174,"סוניה קלוורי פיליפו"
1378,2175,39,"שנאוצר ננסי ש""כ ","Miniature Schnauzer bl/sil",174,"סוניה קלוורי פיליפו"
