show_id,arena_id,class_id,sagir_id,has_result,result_data_id
1560,2598,411797,1025325,0,0
1560,2598,411797,1026333,0,0
1560,2598,411797,1026344,0,0
1560,2598,411797,1026346,0,0
1560,2598,411800,1020806,0,0
1560,2598,411802,1017458,0,0
1560,2598,411803,1016570,0,0
1560,2598,411803,1017462,0,0
1560,2598,411804,1004080,0,0
1560,2598,411805,147597,0,0
1560,2598,411805,1017460,0,0
1560,2598,411805,1019518,0,0
1560,2598,411807,148231,0,0
1560,2598,411807,1000189,0,0
1560,2598,411808,1000956,0,0
1560,2598,411809,148977,0,0
1560,2598,411811,16900,0,0
1560,2598,411816,1024449,0,0
1560,2598,411825,146536,0,0
1560,2598,411848,1021978,0,0
1560,2598,411849,1021980,0,0
1560,2598,411852,139658,0,0
1560,2598,411853,151662,0,0
1560,2598,411853,1002664,0,0
1560,2598,411856,152905,0,0
1560,2598,411859,125770,0,0
1560,2598,411865,1024637,0,0
1560,2598,411865,1025519,0,0
1560,2598,411872,1017670,0,0
1560,2598,411873,150590,0,0
1560,2598,411928,1024682,0,0
1560,2598,411929,1026379,0,0
1560,2598,411930,1020562,0,0
1560,2598,411930,1021397,0,0
1560,2598,411931,1021806,0,0
1560,2598,411932,1001078,0,0
1560,2598,411932,1006904,0,0
1560,2598,411932,1016242,0,0
1560,2598,411933,143534,0,0
1560,2598,411933,1000365,0,0
1560,2598,411933,1006907,0,0
1560,2598,411936,1000167,0,0
1560,2598,411936,1019279,0,0
1560,2598,411937,148212,0,0
1560,2598,411937,148563,0,0
1560,2598,411937,1005059,0,0
1560,2598,411938,16199,0,0
1560,2598,411948,1023739,0,0
1560,2598,411952,148106,0,0
1560,2598,411953,1001062,0,0
1560,2598,411994,1022439,0,0
1560,2598,411995,1020792,0,0
1560,2598,412000,18320,0,0
1560,2598,412001,18573,0,0
1560,2598,412005,1027316,1,61434
1560,2598,412005,1027316,1,61433
1560,2598,412007,1025848,1,61436
1560,2598,412007,1025848,1,61437
1560,2598,412007,1025848,1,61438
1560,2598,412016,18920,1,61440
1560,2598,412016,1004757,1,61449
1560,2598,412028,1005466,0,0
1560,2598,412029,1004508,0,0
1560,2598,412085,1026377,0,0
1560,2598,412088,1023798,0,0
1560,2598,412088,1024539,0,0
1560,2598,412088,1025817,0,0
1560,2598,412089,1021283,0,0
1560,2598,412089,1023799,0,0
1560,2598,412089,1026634,0,0
1560,2598,412091,1018848,0,0
1560,2598,412092,1020054,0,0
1560,2598,412092,1021388,0,0
1560,2598,412092,1025316,0,0
1560,2598,412093,148582,0,0
1560,2598,412093,151399,0,0
1560,2598,412093,153165,0,0
1560,2598,412093,1016467,0,0
1560,2598,412093,1016468,0,0
1560,2598,412096,1000100,0,0
1560,2598,412096,1016642,0,0
1560,2598,412097,150766,0,0
1560,2598,412097,1005367,0,0
1560,2598,412104,1024720,0,0
1560,2598,412112,143602,0,0
1560,2598,412112,1001841,0,0
1560,2598,412128,144607,0,0
1560,2598,412150,1026318,0,0
1560,2598,412155,1018995,0,0
1560,2598,412168,1022230,0,0
1560,2598,412168,1025490,0,0
1560,2598,412169,1021875,0,0
1560,2598,412169,1022341,0,0
1560,2598,412172,19692,0,0
1560,2598,412172,143007,0,0
1560,2598,412172,1000218,0,0
1560,2598,412172,1003177,0,0
1560,2598,412172,1005867,0,0
1560,2598,412173,1001575,0,0
1560,2598,412173,1001576,0,0
1560,2598,412173,1002969,0,0
1560,2598,412173,1003217,0,0
1560,2598,412173,1017062,0,0
1560,2598,412176,1000269,0,0
1560,2598,412177,18558,0,0
1560,2598,412177,1007232,0,0
1560,2598,412203,1022178,0,0
1560,2598,412208,1005302,0,0
1560,2598,412296,1021856,0,0
1560,2598,412297,1021860,0,0
1560,2598,412300,1012734,0,0
1560,2598,412302,1026983,0,0
1560,2598,412313,1024945,0,0
1560,2598,412318,1003761,0,0
1560,2598,412318,1005454,0,0
1560,2598,412318,1006455,0,0
1560,2598,412319,1001906,0,0
1560,2598,412319,1005449,0,0
1560,2598,412322,1000861,0,0
1560,2598,412338,152422,0,0
1560,2598,412339,152421,0,0
1560,2598,412386,1005978,0,0
1560,2598,412653,1021197,1,61278
1560,2598,413092,131885,1,60987
