show_id,registration_id,registered_by,sagir_id,dog_name_he,arena_id,class_id
1526,23792,230673,1017458,EROS,2503,390562
1526,23793,230673,1017460,ERIKA,2503,390565
1526,23794,230673,1017462,ENDORRA,2503,390563
1526,23797,227649,1024947,fabia,2503,390557
1526,23803,231298,1001148,,2506,392123
1526,23804,231298,1001154,,2506,392122
1526,23805,231298,1021783,,2506,392115
1526,23806,231236,113305,"גאוות ישראל מ",2508,392733
1526,23807,231236,1017977,גבריאלה,2508,392725
1526,23809,229507,1000221,,2503,391081
1526,23816,262200,1017594,Blue,2505,391844
1526,23822,264879,1022118,,2504,391269
1526,23824,0,1021295,Dave,2505,391732
1526,23825,264243,1004080,,2503,390564
1526,23826,256455,1000745,,2508,392826
1526,23835,227107,1009545,"Secret Eyes Only",2511,393637
1526,23836,248608,19148,,2507,392507
1526,23837,248608,152304,"margarita navarskaya",2507,392507
1526,23838,248608,1018792,"Orlando Bloom",2507,392500
1526,23839,248608,1020238,"Pearl Black Veronica",2507,392499
1526,23840,248608,1025240,,2507,392496
1526,23841,248608,1025245,,2507,392497
1526,23853,230884,1023197,Umalat,2505,391731
1526,23856,228843,16105,,2506,392013
1526,23857,228843,1000652,,2506,392010
1526,23859,228843,1023434,,2506,392003
1526,23867,248829,145862,ריי,2509,393210
1526,23879,263561,1020237,Patricua-Sophia,2507,392499
1526,23880,249938,1021164,,2508,392819
1526,23897,257871,1002839,Simba,2505,391642
1526,23899,230216,1014504,,2513,394442
1526,23900,230216,1020348,"Fifty Shades of Love",2513,394437
1526,23901,230216,1020352,"Fantastic Fame",2513,394435
1526,23906,250171,151399,דומינו,2503,390853
1526,23907,250171,1021283,טאקי,2503,390849
1526,23913,0,1005016,,2511,393559
1526,23914,0,1016619,,2511,393562
1526,23915,0,1022728,"Cheri Lady",2503,390689
1526,23916,0,1023185,Sansara,2511,393553
1526,23936,252069,141594,"BRIZA NB",2503,390693
1526,23937,252069,143228,Chessy,2503,390692
1526,23938,252069,1016724,,2503,390693
1526,23939,260164,1006380,"מגנום אופוס",2505,391510
1526,23942,229839,17458,,2506,392390
1526,23943,229839,1005226,,2506,392391
1526,23944,256593,1000890,"צ'ארלי CHARLIE",2503,390760
1526,23948,229963,1021978,"Latin Lover",2503,390608
1526,23949,229963,1002664,PANDA,2503,390613
1526,23957,231456,1019025,"Go Trophy Von",2504,391197
1526,23961,231265,1021472,MOLLY,2512,393987
1526,23969,230597,1017938,Mars-bono,2505,391510
1526,23970,260472,1006891,,2504,391178
1526,24009,265640,1020233,Mako Renji,2507,392498
1526,24010,264725,1021911,"AMANDA AURORA IGELE",2511,393715
1526,24012,261603,1016494,,2505,391637
1526,24026,262940,1019027,"Galaxy Von",2504,391192
1526,24027,258807,1004645,Takila,2505,391851
1526,24044,0,1005466,"Have A Nice Day",2503,390788
1526,24060,232162,139766,,2512,393883
1526,24061,232162,1016386,Richi,2512,393877
1526,24062,249127,1021964,,2513,394467
1526,24064,0,1018009,,2511,393637
1526,24080,230931,16592,,2512,393980
1526,24081,230931,141333,,2512,393978
1526,24082,230931,1011817,Miyoshi,2512,393972
1526,24083,230931,1020837,,2512,393957
1526,24084,230931,1020838,,2512,394260
1526,24098,257630,1025508,,2504,391291
1526,24101,263435,1021399,PABLO,2511,393554
1526,24102,263435,1025005,Valley,2511,393553
1526,24103,263435,1025208,,2511,393555
1526,24109,252070,1020562,,2503,390690
1526,24113,263165,1019377,אנזו,2511,393572
1526,24120,231113,16199,,2503,390698
1526,24121,231113,18320,,2503,390760
1526,24122,231113,1005059,,2503,390697
1526,24123,231113,1020792,Lucia,2503,390753
1526,24124,231113,18573,,2503,390761
1526,24125,231113,1001078,,2503,390692
1526,24130,258298,1003687,,2512,393926
1526,24131,258298,1022274,"cheri lady",2512,393923
1526,24143,262441,1017876,CASHEW,2511,393556
1526,24145,0,1023955,"תקומת קומראן",2509,393217
1526,24154,248789,1023691,,2511,393555
1526,24158,0,1008950,"Irish Cream My Love",2512,394133
1526,24169,0,144726,קישי,2508,392870
1526,24180,248524,1020070,אנג'ל,2505,391811
1526,24197,264056,1021029,,2508,392663
1526,24199,264272,1021362,"ARCHIBALD le BRAVE GARSON",2512,393778
1526,24208,259994,1006034,ג'ומה,2503,390852
1526,24229,265795,1023736,,2512,394307
1526,24238,261709,1016696,,2504,391270
1526,24270,260962,1009536,"Andantino Con Espressione",2503,390690
1526,24271,250596,1016241,,2512,394314
1526,24277,250254,18920,,2503,390776
1526,24281,0,1025491,,2512,394322
1526,24294,0,1019422,WACHO,2511,393570
1526,24295,0,1005970,"Valentino Romeo",2512,394250
1526,24296,0,1018898,OSKAR,2512,394230
1526,24297,0,1019574,DOLORES,2512,394229
1526,24298,0,1020388,TIARA,2512,394245
1526,24299,0,1020389,TREISY,2512,394243
1526,24300,0,1021287,"GRAYSON SALLY",2512,394226
1526,24301,0,1025439,,2512,394224
1526,24308,254568,1000290,,2504,391291
1526,24309,254568,1018785,,2504,391301
1526,24311,0,1021777,מרצ'לו,2504,391220
1526,24312,250542,19245,,2512,393847
1526,24313,250542,1022471,,2512,393843
1526,24314,250542,1023308,,2512,393842
1526,24315,256221,1003180,,2512,394266
1526,24316,256221,1006573,,2512,394263
1526,24317,256221,1021093,,2512,394261
1526,24318,256221,1021094,,2512,394262
1526,24319,256221,1025122,"Big Ben Ot",2512,394254
1526,24321,263579,1020296,CHELENTANO,2504,391236
1526,24322,250582,151502,"Simeni Kahotam Al Libeha",2513,394490
1526,24324,230928,149686,"Charming Cola",2504,391259
1526,24325,230928,1020061,,2504,391250
1526,24326,230928,1021079,,2507,392530
1526,24327,230928,1021080,,2507,392531
1526,24328,230928,1023210,,2504,391248
1526,24333,249490,1025388,,2504,391281
1526,24334,249490,19178,,2504,391307
1526,24335,249620,1005708,"Treasure of My Heart",2506,392166
1526,24336,264464,1021598,"Taira Black Gold",2506,392163
1526,24337,230203,1007080,שלי,2504,391301
1526,24338,230203,1021127,,2505,391509
1526,24339,230203,1024677,אייבי,2505,391507
1526,24340,263504,1021263,,2509,393218
1526,24344,259011,1004723,סופיה,2510,393431
1526,24345,0,1004722,פיליפה,2510,393431
1526,24347,0,1025655,Milo,2511,393550
1526,24349,260904,1023705,,2511,393571
1526,24350,265476,1023256,"Zehava Alsephina",2507,392467
1526,24351,231648,150325,,2504,391271
1526,24352,264151,1021130,,2508,392774
1526,24353,254342,1016717,,2512,394203
1526,24354,0,1005003,,2504,391290
1526,24355,253603,151873,סול,2511,393575
1526,24356,253603,1021464,,2512,394326
1526,24357,231946,148977,,2503,390569
1526,24358,231946,1019518,"BELL - בל",2503,390565
1526,24359,252094,1000133,,2506,392422
1526,24360,252094,1023300,,2506,392418
1526,24366,266036,1024113,,2508,392774
1526,24367,253924,152180,Gucci,2504,391335
1526,24368,264046,1021015,"Miss Pretzel Cheesy",2509,393267
1526,24375,260997,1010749,"My Smile",2512,394310
1526,24376,250079,1022948,,2512,393956
1526,24377,250079,1006660,,2512,394311
1526,24378,248609,1003156,,2504,391270
1526,24379,248609,1007092,פספוסה,2504,391269
1526,24380,248609,1021774,לוסי,2504,391219
1526,24381,248609,1022587,,2504,391285
1526,24382,248609,1023183,טוי,2504,391299
1526,24383,248679,126947,,2509,393228
1526,24384,256526,1000820,,2508,393083
1526,24385,256526,1018991,"Appolonius of Rhodes",2508,393078
1526,24386,256526,1023588,"Andarna dragon sun and shadows",2508,393075
1526,24387,0,1020686,"Black Hot Chili Bonnie",2504,391267
1526,24388,258433,1003977,Andromeda,2504,391200
1526,24389,259258,1005014,Ralphie,2511,393558
1526,24390,231096,1000159,,2509,393270
1526,24393,0,1017309,,2512,394090
1526,24394,0,1017310,,2512,394091
1526,24395,259290,1005069,,2504,391367
1526,24396,259600,1005502,,2508,392826
1526,24399,227264,1019403,,2512,393970
1526,24400,0,151652," Nisan Solaris",2512,393978
1526,24401,0,1017605,"EVA MARIA",2512,393973
1526,24402,0,1018797,,2512,394267
1526,24403,0,1018870,,2512,394262
1526,24403,0,1018870,,2512,394262
1526,24403,0,1018870,,2512,394262
1526,24404,0,1021183,,2512,393971
1526,24405,0,1025450,,2512,394257
1526,24408,257865,1002822,"Sam Samuel",2512,393914
1526,24409,232151,15556,,2511,393580
1526,24410,232151,1016562,,2511,393572
1526,24411,258844,1023806,"The Royal Favourite Kevin",2506,392160
1526,24412,264285,1021384,,2511,393590
1526,24414,249669,1017629,"Bella Fortuna bet on success",2506,392245
1526,24415,231888,151507,"STAR OF DAVID",2513,394490
1526,24424,265764,1023665,Atos,2512,393984
1526,24425,0,1011791,Nika,2512,393991
1526,24426,0,15155,,2504,391292
1526,24427,0,1011793,"Captain Good Hope of",2504,391300
1526,24428,0,1014769,"Beautiful Bloom of",2504,391303
1526,24429,0,1017121,,2504,391301
1526,24430,0,1024436,,2504,391299
1526,24431,230234,1020830,,2512,394084
1526,24432,230234,1022379,,2512,394083
1526,24434,230234,1024890,Abigail,2512,394081
1526,24436,0,1000748,COPPER,2512,394074
1526,24437,0,1024908,"Alaska- Alice",2512,394063
1526,24445,0,1007224,,2512,393879
1526,24446,0,1021591,,2512,393875
1526,24447,0,1024698,"Lancelot iz sholkovogo pyti",2512,393872
1526,24448,248836,19206,,2511,393578
1526,24449,248836,1000644,,2511,393578
1526,24450,250737,150811,MIKI,2512,394234
1526,24451,250737,1019032,,2512,394229
1526,24452,230290,16490,,2506,392028
1526,24453,230290,1002830,Antonio,2506,392026
1526,24454,230290,1003725,,2506,392027
1526,24455,230290,1016305,Gorgeous,2512,394084
1526,24456,230290,1023170,,2512,394083
1526,24457,230290,1023706,,2506,392018
1526,24458,230290,1024889,,2512,394080
1526,24459,230290,1025519,,2503,390623
1526,24460,228389,1016212,,2513,394437
1526,24461,228389,1020394,,2513,394436
1526,24462,228389,1023220,,2513,394435
1526,24463,227792,1000273,,2512,393963
1526,24464,227792,1025066,,2512,393954
1526,24465,264711,1021962,"Brilliance Gloria",2510,393363
1526,24466,230203,1024679,"איירון מן",2505,391506
1526,24467,256047,153381,אדלר,2511,393558
1526,24468,249574,19298,,2504,391334
1526,24469,230884,152673,,2505,391735
1526,24472,227593,1022476,CASPER,2506,392162
1526,24474,0,1017753,טומי,2512,394070
1526,24476,250495,1017114,Jasmin,2512,393941
1526,24481,231321,1022596,"Elsa New Star",2504,391331
1526,24483,229244,1004757,,2503,390776
1526,24484,0,1014796,,2504,391196
1526,24485,231240,145474,"wind of change",2513,394523
1526,24486,231240,1005036,,2513,394522
1526,24487,265972,1024014,Newton,2503,390928
1526,24488,231078,1003201,,2504,391306
1526,24489,231078,1016528,Maria,2504,391303
1526,24492,227461,1001140,"Hercules Tibo Courtois",2505,391402
1526,24493,227461,1020968,"ISR Vinicius Jr",2505,391394
1526,24494,231571,1000306,,2506,392010
1526,24496,227461,1025821,"DANCING IN THE MOONLIGHT",2505,391391
1526,24498,256055,1016559,שלי,2511,393557
1526,24499,261504,1016297,"Alhena Stream of Passion",2509,393253
1526,24500,0,1024449,,2503,390576
1526,24503,257754,1002685,CHASE,2503,390933
1526,24507,230203,142861,,2505,391511
1526,24508,261255,1012778,,2508,392759
1526,24511,248506,1016708,"Olympia Vinn Basmadottir",2513,394491
1526,24512,248867,18593,,2509,393275
1526,24513,248867,1024557,Artemis,2509,393265
1526,24518,230203,1024680,"אינדירו חיים",2505,391506
1526,24519,230203,1024681,איירו,2505,391506
1526,24520,0,1024678,"היי ליבי",2505,391507
1526,24521,250162,1025248,Annabelle,2512,394241
1526,24522,230948,1011745,Fauda,2505,391509
1526,24523,229296,152551,,2504,391303
1526,24526,266990,1025407,"Beloved Cherry Mulan",2511,393599
1526,24527,231031,1016374,Zoui,2512,394053
1526,24528,254495,148337,,2510,393370
1526,24529,231017,143918,,2511,393595
1526,24530,231017,148738,"Lady Elis",2511,393591
1526,24532,265288,1022914,ROKU,2503,390850
1526,24533,259867,1005838,Nira,2504,391335
1526,24535,267261,1025843,ARCHIE,2503,390764
1526,24536,0,1005223,,2504,391302
1526,24537,229244,1025845,AMBER,2503,390764
1526,24538,256794,146389,Harley,2512,393786
1526,24539,250308,1025848,AMOR,2503,390765
1526,24542,0,1020901,,2505,391508
1526,24543,250563,1020658,,2503,391141
1526,24544,231567,19036,,2508,392842
