show_id,sagir_id,registration_id,paid,payments_count,total_amount,arena_id,class_id
1526,16199,24120,1,1,580,2503,390698
1526,18064,25024,0,0,0,2503,390616
1526,18310,25211,1,1,895,2503,390713
1526,18320,24121,1,1,580,2503,390760
1526,18573,24124,1,1,185,2503,390761
1526,18713,25025,0,0,0,2503,390613
1526,18920,24277,1,1,175,2503,390776
1526,19170,25176,1,1,845,2503,390936
1526,19258,25154,1,1,815,2503,390969
1526,19289,25589,1,1,215,2503,390696
1526,19692,24811,1,1,175,2503,390932
1526,125770,25155,1,1,815,2503,390619
1526,133756,24714,1,1,460,2503,390937
1526,138438,24728,1,1,330,2503,390933
1526,140005,25177,1,1,845,2503,390933
1526,141594,23936,1,1,460,2503,390693
1526,143218,24857,1,1,175,2503,391098
1526,143228,23937,1,1,460,2503,390692
1526,143339,25409,1,1,215,2503,390920
1526,143422,24703,1,1,155,2503,390697
1526,143534,25351,1,1,460,2503,390693
1526,144607,24634,1,1,175,2503,390888
1526,146536,25533,1,1,195,2503,390585
1526,146563,24990,1,1,175,2503,390616
1526,146763,24567,1,1,330,2503,390853
1526,147169,24715,1,1,460,2503,390933
1526,147172,24716,1,1,460,2503,390932
1526,148106,25294,1,1,450,2503,390712
1526,148231,25417,1,1,335,2503,390567
1526,148563,24976,1,1,155,2503,390697
1526,148977,24357,1,1,175,2503,390569
1526,149234,25144,1,1,175,2503,390564
1526,150766,25178,1,1,845,2503,390857
1526,151399,23906,1,1,330,2503,390853
1526,151567,25558,1,1,215,2503,390693
1526,151663,25248,1,1,460,2503,390613
1526,151726,25498,1,1,120,2503,390693
1526,152421,25057,1,1,330,2503,391099
1526,152905,25026,0,0,0,2503,390612
1526,385779,25376,1,1,415,2503,390938
1526,1000100,25331,1,1,175,2503,390856
1526,1000221,23809,1,1,175,2503,391081
1526,1000242,25414,1,1,215,2503,390568
1526,1000365,24915,1,1,175,2503,390693
1526,1000642,25352,1,1,460,2503,390693
1526,1000861,25147,1,1,175,2503,391082
1526,1000890,23944,1,1,175,2503,390760
1526,1001062,24823,1,1,330,2503,390713
1526,1001072,25423,1,1,195,2503,390565
1526,1001078,24125,1,1,185,2503,390692
1526,1001493,24896,1,1,175,2503,390933
1526,1001513,25013,1,1,175,2503,390696
1526,1001841,24603,1,1,175,2503,390868
1526,1001906,24995,1,1,175,2503,391079
1526,1002664,23949,1,1,155,2503,390613
1526,1002685,24503,1,1,175,2503,390933
1526,1002760,25212,1,1,895,2503,391127
1526,1003052,25282,1,1,155,2503,390565
1526,1003081,25464,1,1,215,2503,390933
1526,1004000,25427,1,1,215,2503,390933
1526,1004007,25249,1,1,460,2503,390612
1526,1004080,23825,1,1,155,2503,390564
1526,1004438,25413,1,1,215,2503,390628
1526,1004508,25509,1,1,215,2503,390789
1526,1004757,24483,1,1,175,2503,390776
1526,1005041,25311,1,1,175,2503,390853
1526,1005058,25058,1,1,330,2503,391095
1526,1005059,24122,1,1,580,2503,390697
1526,1005302,25027,0,0,0,2503,390964
1526,1005367,25348,1,1,295,2503,390857
1526,1005466,24044,1,1,350,2503,390788
1526,1005978,25179,1,1,845,2503,391146
1526,1005983,25127,1,1,175,2503,391079
1526,1006034,24208,1,1,175,2503,390852
1526,1006455,24910,1,1,175,2503,391076
1526,1007232,24690,1,1,460,2503,390937
1526,1008795,25213,1,1,895,2503,390708
1526,1008796,25214,1,1,895,2503,390709
1526,1009536,24270,1,1,175,2503,390690
1526,1016242,25353,1,1,460,2503,390692
1526,1016293,24691,1,1,460,2503,390933
1526,1016330,25181,1,1,845,2503,390629
1526,1016499,25264,1,1,175,2503,390850
1526,1016566,25148,1,1,235,2503,390936
1526,1016642,25596,1,1,215,2503,390856
1526,1016677,25028,0,0,0,2503,390610
1526,1016681,24568,1,1,330,2503,390850
1526,1016724,23938,1,1,460,2503,390693
1526,1017103,24902,1,1,175,2503,390626
1526,1017198,25530,1,1,410,2503,391079
1526,1017458,23792,1,1,460,2503,390562
1526,1017460,23793,1,1,460,2503,390565
1526,1017462,23794,1,1,460,2503,390563
1526,1017647,24729,1,1,330,2503,390930
1526,1017670,24705,1,1,175,2503,390626
1526,1017787,25503,1,1,215,2503,390565
1526,1017878,25549,0,0,0,2503,390579
1526,1017954,25190,1,1,175,2503,390688
1526,1018846,25180,1,1,845,2503,390851
1526,1018995,24830,1,1,175,2503,390913
1526,1019017,25157,1,1,815,2503,390610
1526,1019018,25158,1,1,815,2503,390611
1526,1019279,25438,1,1,215,2503,390692
1526,1019455,25250,1,1,460,2503,390610
1526,1019469,25458,1,1,215,2503,390562
1526,1019518,24358,1,1,155,2503,390565
1526,1019609,25041,1,1,130,2503,391074
1526,1020012,25531,1,1,410,2503,391075
1526,1020521,25321,1,1,175,2503,390848
1526,1020562,24109,1,1,175,2503,390690
1526,1020658,24543,1,1,175,2503,391141
1526,1020729,25210,1,1,895,2503,390705
1526,1020730,25215,1,1,895,2503,390707
1526,1020764,25295,1,1,450,2503,390851
1526,1020792,24123,1,1,580,2503,390753
1526,1021283,23907,1,1,330,2503,390849
1526,1021368,25397,1,1,510,2503,390612
1526,1021389,25110,1,1,175,2503,390881
1526,1021397,24997,1,1,330,2503,390690
1526,1021734,24767,1,1,175,2503,390930
1526,1021806,24770,1,1,175,2503,390689
1526,1021856,25369,1,1,380,2503,391056
1526,1021860,25370,1,1,380,2503,391057
1526,1021867,24845,1,1,175,2503,390688
1526,1021875,25377,1,1,415,2503,390929
1526,1021930,25149,1,1,235,2503,390928
1526,1021978,23948,1,1,175,2503,390608
1526,1021980,25255,1,1,330,2503,390609
1526,1022178,25159,1,1,815,2503,390961
1526,1022230,24692,1,1,460,2503,390928
1526,1022439,25480,1,1,215,2503,390754
1526,1022728,23915,1,1,580,2503,390689
1526,1022914,24532,1,1,175,2503,390850
1526,1023317,25379,1,1,175,2503,390932
1526,1023739,24824,1,1,330,2503,390708
1526,1024014,24487,1,1,175,2503,390928
1526,1024021,24943,1,1,175,2503,390929
1526,1024449,24500,1,1,175,2503,390576
1526,1024539,24586,1,1,175,2503,390848
1526,1024637,24847,1,1,175,2503,390625
1526,1024945,25418,1,1,335,2503,391071
1526,1024947,23797,1,1,120,2503,390557
1526,1025234,25031,0,0,0,2503,390961
1526,1025316,25468,1,1,410,2503,390852
1526,1025337,25469,1,1,410,2503,390853
1526,1025477,25524,1,1,215,2503,390848
1526,1025488,25358,1,1,175,2503,390753
1526,1025490,25378,1,1,415,2503,390926
1526,1025519,24459,1,1,1005,2503,390623
1526,1025751,24916,1,1,120,2503,390846
1526,1025813,25595,1,1,120,2503,390847
1526,1025817,25349,1,1,295,2503,390846
1526,1025828,25150,1,1,120,2503,390685
1526,1025843,24535,1,1,120,2503,390764
1526,1025845,24537,1,1,120,2503,390764
1526,1025848,24539,1,1,120,2503,390765
1526,1026104,25354,1,1,175,2503,390849
1526,1026139,25332,1,1,175,2503,390852
1526,1026316,25593,1,1,145,2503,390565
1526,1026318,25478,1,1,120,2503,390910
1526,1026344,25521,1,1,240,2503,390555
1526,1026346,25522,1,1,240,2503,390555
1526,1026379,25572,1,1,120,2503,390689
1526,15155,24426,1,1,425,2504,391292
1526,19047,24558,1,1,175,2504,391339
1526,19178,24334,1,1,175,2504,391307
1526,19298,24468,1,1,175,2504,391334
1526,127469,24749,1,1,570,2504,391211
1526,132032,25453,1,1,195,2504,391243
1526,139608,24993,1,1,175,2504,391286
1526,141528,24623,1,1,175,2504,391338
1526,142771,24901,1,1,225,2504,391206
1526,143995,24648,1,1,175,2504,391242
1526,146894,24785,1,1,175,2504,391243
1526,147773,25020,1,1,175,2504,391243
1526,149686,24324,1,1,735,2504,391259
1526,150325,24351,1,1,175,2504,391271
1526,150673,24569,1,1,175,2504,391226
1526,151148,24825,1,1,155,2504,391303
1526,151155,25550,1,1,215,2504,391367
1526,151837,24750,1,1,570,2504,391207
1526,152180,24367,1,1,175,2504,391335
1526,152294,25320,1,1,175,2504,391200
1526,152551,24523,1,1,175,2504,391303
1526,152771,25109,1,1,175,2504,391334
1526,1000290,24308,1,1,175,2504,391291
1526,1000646,25605,0,0,0,2504,391371
1526,1000651,25169,1,1,175,2504,391226
1526,1000682,24550,1,1,460,2504,391238
1526,1002693,24694,1,1,175,2504,391334
1526,1003156,24378,1,1,645,2504,391270
1526,1003201,24488,1,1,175,2504,391306
1526,1003975,25515,1,1,215,2504,391198
1526,1003977,24388,1,1,175,2504,391200
1526,1004352,25405,1,1,215,2504,391319
1526,1004826,25471,1,1,215,2504,391239
1526,1004846,24759,1,1,175,2504,391226
1526,1005003,24354,1,1,175,2504,391290
1526,1005069,24395,1,1,175,2504,391367
1526,1005223,24536,1,1,175,2504,391302
1526,1005837,24562,1,1,330,2504,391335
1526,1005838,24533,1,1,175,2504,391335
1526,1005898,25494,1,1,315,2504,391370
1526,1006809,25430,1,1,215,2504,391335
1526,1006891,23970,1,1,175,2504,391178
1526,1007080,24337,1,1,460,2504,391301
1526,1007092,24379,1,1,645,2504,391269
1526,1007206,25251,1,1,175,2504,391201
1526,1011793,24427,1,1,425,2504,391300
1526,1014769,24428,1,1,425,2504,391303
1526,1014796,24484,1,1,175,2504,391196
1526,1014797,24751,1,1,570,2504,391197
1526,1015374,24649,1,1,175,2504,391291
1526,1016528,24489,1,1,155,2504,391303
1526,1016696,24238,1,1,175,2504,391270
1526,1017121,24429,1,1,425,2504,391301
1526,1017229,25253,1,1,155,2504,391194
1526,1018785,24309,1,1,155,2504,391301
1526,1018929,25592,1,1,170,2504,391236
1526,1019020,25580,1,1,215,2504,391190
1526,1019021,25309,1,1,175,2504,391191
1526,1019025,23957,1,1,175,2504,391197
1526,1019027,24026,1,1,175,2504,391192
1526,1019611,24551,1,1,460,2504,391239
1526,1020061,24325,1,1,735,2504,391250
1526,1020296,24321,1,1,175,2504,391236
1526,1020297,24552,1,1,460,2504,391237
1526,1020686,24387,1,1,175,2504,391267
1526,1021774,24380,1,1,645,2504,391219
1526,1021777,24311,1,1,175,2504,391220
1526,1022118,23822,1,1,175,2504,391269
1526,1022587,24381,1,1,645,2504,391285
1526,1022593,25578,1,1,215,2504,391330
1526,1022596,24481,1,1,175,2504,391331
1526,1022946,24897,1,1,175,2504,391302
1526,1023183,24382,1,1,645,2504,391299
1526,1023210,24328,1,1,735,2504,391248
1526,1023753,24867,1,1,175,2504,391331
1526,1023781,24765,1,1,175,2504,391192
1526,1023987,24844,1,1,120,2504,391189
1526,1024142,25314,1,1,175,2504,391190
1526,1024190,25481,1,1,410,2504,391266
1526,1024196,25482,1,1,410,2504,391299
1526,1024277,24606,1,1,120,2504,391168
1526,1024436,24430,1,1,425,2504,391299
