show_id,arena_id,dogs,judges,breeds_with_dogs,results
1124,1612,0,0,0,143
1124,1611,0,0,0,185
1124,1577,77,1,11,140
1124,1575,92,1,7,159
1124,1579,121,1,8,160
1124,1574,131,1,8,181
1124,1573,135,1,11,146
1124,1578,168,1,15,137
1124,1572,176,1,17,154
1124,1576,187,1,8,143
