show_id,arena_id,breed_code,breed_name_he,breed_name_en,judge_id,judge_name_he
1526,2503,15,"קולי ארוך שיער ","Collie Rough",246,"מיכאל פפדטוס"
1526,2503,167,"קולי קצר שיער","Collie smooth",246,"מיכאל פפדטוס"
1526,2503,121,"בורדר קולי","Border Collie",246,"מיכאל פפדטוס"
1526,2503,16,"כלב רועים שטלנדי ","Shetland Sheepdog",246,"מיכאל פפדטוס"
1526,2503,1022,"קלפי אוסטרלי","Australian Kelpie",246,"מיכאל פפדטוס"
1526,2503,158,"כלב רועים אוסטרלי ","Australian Shepherd",246,"מיכאל פפדטוס"
1526,2503,555,"כלב רועים אמריקאי ננסי","Miniature American Shepherd",246,"מיכאל פפדטוס"
1526,2503,203,"כלב רועים שוויצרי לבן","White Swiss Shepherd",246,"מיכאל פפדטוס"
1526,2503,101,"כלב רועים בלגי-גרוננדל ","Belg. Shepherd-Groenendael",246,"מיכאל פפדטוס"
1526,2503,126,"כלב רועים בלגי-מלינוואה","Belg. Shepherd-Malinois",246,"מיכאל פפדטוס"
1526,2503,1034,"כלב רועים בלגי-לקינואה","Belg. Shepherd-Laekenois",246,"מיכאל פפדטוס"
1526,2503,10,"כלב צאן אנגלי עתיק ","OLD ENGLISH SHEEPDOG",246,"מיכאל פפדטוס"
1526,2504,39,"שנאוצר ננסי ש""כ ","Miniature Schnauzer bl/sil",284,"טלי הלפרין"
1526,2504,36,"שנאוצר בינוני שחור ","Schnauzer Black ",284,"טלי הלפרין"
1526,2504,35,"שנאוצר בינוני פל""מל ","Schnauzer P/SL",284,"טלי הלפרין"
1526,2504,28,"שנאוצר ענק שחור ","Giant Schnauzer Black ",284,"טלי הלפרין"
1526,2504,108,"שנאוצר ענק פלפל/מלח ","Giant Schnauzer P/SL",284,"טלי הלפרין"
1526,2504,38,"שנאוצר ננסי פלפל מלח","Miniature Schnauzer P/SL",284,"טלי הלפרין"
1526,2504,37,"שנאוצר ננסי שחור ","Miniature Schnauzer Black",284,"טלי הלפרין"
1526,2504,163,"שנאוצר ננסי לבן ","Miniature Schnauzer White",284,"טלי הלפרין"
1526,2504,2,"דני ענק חום מנומר ","Great Dane fawn/brindle",284,"טלי הלפרין"
1526,2504,150,"דני ענק כחול ","Great Dane Blue ",284,"טלי הלפרין"
1526,2504,151,"דני ענק שחור הרלקין ","Great Dane Black/Harlequin",284,"טלי הלפרין"
1526,2504,34,"קוקר ספניאל אנגלי ","English Cocker Spaniel",275,"דר' יהודית וולף"
1526,2505,136,"כלב רועים מרכז אסיאתי","CEN.ASIA SHEPHER.DOG",337,"ביספו פדרו איבו"
1526,2505,1015,"מסטיף דר' אפריקאי בורבול","South African Boerboel",337,"ביספו פדרו איבו"
1526,2505,130,"כלב רועים קווקזי ","CAUCASIAN SHEPHERD DOG",337,"ביספו פדרו איבו"
1526,2505,162,"קאנה קורסו ","Cane Corso",337,"ביספו פדרו איבו"
1526,2505,68,"דוג דה בורדו ","Dogue de Bordeaux ",337,"ביספו פדרו איבו"
1526,2505,25,"מסטינו נפוליטנו ","Mastino Napoletano",337,"ביספו פדרו איבו"
1526,2505,118,"בול מסטיף ","Bull Mastiff ",337,"ביספו פדרו איבו"
1526,2505,23,דוברמן,Dobermann,337,"ביספו פדרו איבו"
1526,2505,22,"בוקסר ","BOXER ",337,"ביספו פדרו איבו"
1526,2506,1031,"טרייר אמריקאי קירח","American Hairless Terrier",304,"רל סקיק"
1526,2506,143,"קאירן טרייר ","Cairn Terrier",304,"רל סקיק"
1526,2506,42,"סקוטיש טרייר ","Scottish Terrier ",304,"רל סקיק"
1526,2506,43,"סקיי טרייר ","SKYE TERRIER ",304,"רל סקיק"
1526,2506,1003,"טרייר צ'כי","Cesky Terrier",304,"רל סקיק"
1526,2506,144,"פוקס טרייר שיער זיפי ","Fox Terrier Wire",304,"רל סקיק"
1526,2506,147,"פרסון ראסל טרייר ","Parson Russell Terrier",304,"רל סקיק"
1526,2506,195,"ג'ק ראסל טרייר ","Jack Russell Terrier",304,"רל סקיק"
1526,2506,46,"לייקלנד טרייר ","LAKELAND TERRIER ",304,"רל סקיק"
1526,2506,137,"אייריש טרייר ","IRISH TERRIER ",304,"רל סקיק"
1526,2506,140,"בול טרייר ננסי ","MINIATURE BULLTERRIER",304,"רל סקיק"
1526,2506,48,"פוקס טרייר קצר שיער ","Fox Terrier Smooth",304,"רל סקיק"
1526,2506,49,"אירדייל טרייר ","Airedale Terrier",304,"רל סקיק"
1526,2506,50,"ווסט היילנד וייט טרייר","West Highland White Terrier",304,"רל סקיק"
1526,2506,88,"יורקשייר טרייר ","Yorkshire Terrier ",304,"רל סקיק"
1526,2508,97,"כלב מקסיקני קירח","Mexican Hairless Dog Standard",68,"רוטשילד יוסי"
1526,2508,1016,"כלב פרואני קירח-בינוני","Peruvian Hairless Dog-Medium",68,"רוטשילד יוסי"
1526,2508,1040,"כלב פרואני קירח-קטן","Peruvian Hairless Dog-Small",68,"רוטשילד יוסי"
1526,2508,170,"אקיטה ","Akita Inu",68,"רוטשילד יוסי"
1526,2508,123,"בסנג'י ","BASENJI ",68,"רוטשילד יוסי"
1526,2508,129,"שיבה ","SHIBA INU ",68,"רוטשילד יוסי"
1526,2508,155,"שפיץ יפני ","Japanese Spitz",68,"רוטשילד יוסי"
1526,2508,61,"סמוייד ",Samoyed,68,"רוטשילד יוסי"
1526,2508,65,"כלב כנעני","Canaan Dog",68,"רוטשילד יוסי"
1526,2508,64,"צ'או צ'או ","Chow Chow ",68,"רוטשילד יוסי"
1526,2508,1023,"תאי רידג'בק","Thai Ridgeback Dog",68,"רוטשילד יוסי"
1526,2508,169,"אקיטה אמריקאי ","American Akita",68,"רוטשילד יוסי"
1526,2508,63,"קיסהונד ","Keeshond Wolfspitz",68,"רוטשילד יוסי"
1526,2508,173,"שפיץ גרמני קטן צבע אחר","German Spitz Min Other Colors",68,"רוטשילד יוסי"
1526,2508,58,"אלסקן מלמוט ","Alaskan Malamute ",68,"רוטשילד יוסי"
1526,2508,95,"פומרניין ",Pomeranian,68,"רוטשילד יוסי"
1526,2509,20,"וולש קורגי פמברוק ","Welsh Corgi Pembroke",365,"קאלבו קרייסק"
1526,2509,99,"וולש קורגי קרדיגן","Welsh Corgi Cardigan ",365,"קאלבו קרייסק"
1526,2509,153,"כלב זאב צ'כי ","Czechoslovakian Wolfdog ",365,"קאלבו קרייסק"
1526,2509,100,"בריארד ",Briard,365,"קאלבו קרייסק"
1526,2509,128,"בירדד קולי","Bearded Collie",365,"קאלבו קרייסק"
1526,2509,156,"כלב סיני מצוייץ ","Chinese Crested Dog",365,"קאלבו קרייסק"
1526,2509,1000,"קינג צ'ארלס ספניאל","King Charles Spaniel",365,"קאלבו קרייסק"
1526,2509,86,"בישון פריזה ","Bichon Frise",365,"קאלבו קרייסק"
1526,2509,93,שי-צו,"SHIH TZU",365,"קאלבו קרייסק"
1526,2509,94,מלטזי,MALTESE,365,"קאלבו קרייסק"
1526,2509,27,"סקיפרקה ","Schipperkee ",365,"קאלבו קרייסק"
1526,2510,124,"טרייר רוסי שחור ","Black Rus.Terrier",246,"מיכאל פפדטוס"
1526,2510,6,"פינצ'ר ננסי ","Min. Pinscher",246,"מיכאל פפדטוס"
1526,2510,21,"בולדוג אנגלי ","English Bulldog ",246,"מיכאל פפדטוס"
1526,2510,205,"בולדוג אמריקאי ","American Bulldog ",246,"מיכאל פפדטוס"
1526,2510,1039,"כלב צ'ונגצ'ינג סיני","Chinese Chongqing Dog",246,"מיכאל פפדטוס"
1526,2510,90,"קה דה בו (דוגו מלורקווין)","Ca De Bou - Majorca Mastiff",246,"מיכאל פפדטוס"
1526,2510,71,"באסט ","Basset Hound",246,"מיכאל פפדטוס"
1526,2510,145,"פטיט באסט גריפון ואנדן","Petit Basset Griffon Venden",246,"מיכאל פפדטוס"
1526,2510,1021,"כלב מים ספרדי","Spanish Water Dog",246,"מיכאל פפדטוס"
1526,2510,180,"כלב מים פורטוגזי ","PORTUGUESE WATER DOG",246,"מיכאל פפדטוס"
1526,2510,116,"וולש ספרינגר ספניאל ","WELSH SPRINGER SPANIEL",246,"מיכאל פפדטוס"
1526,2510,1037,"קלמבר ספניאל","Clumber Spaniel",246,"מיכאל פפדטוס"
1526,2510,31,"סטר אירי אדום ","IRISH RED SETTER ",246,"מיכאל פפדטוס"
1526,2510,33,"פוינטר גרמני קצר שיער ","German Shorthaired Pointer",246,"מיכאל פפדטוס"
1526,2510,103,"פוינטר אנגלי ","ENGLISH POINTER ",246,"מיכאל פפדטוס"
1526,2510,30,"ויז'לה קצר שיער ","Vizsla Short-haired",246,"מיכאל פפדטוס"
1526,2510,29,"וימרנר קצר שיער ","Weimaraner Short Haired",246,"מיכאל פפדטוס"
1526,2511,113,"ספרינגר ספניאל אנגלי","Eng. Springer Spaniel",365,"קאלבו קרייסק"
1526,2511,7,"לברדור רטריבר ","Labrador Retriever ",365,"קאלבו קרייסק"
1526,2511,8,"גולדן רטריבר ","Golden Retriever ",365,"קאלבו קרייסק"
1526,2511,131,"רטריבר חלק שיער ","Flat-coated Retriever",365,"קאלבו קרייסק"
1526,2511,1001,"דקל זעיר קצר שיער","Teckel Rabbit Smooth",365,"קאלבו קרייסק"
1526,2511,73,"דקל ננסי קצר שיער","Teckel Miniature Smooth",365,"קאלבו קרייסק"
1526,2511,75,"דקל סטנדרט קצר שיער","Teckel Standard Smooth",365,"קאלבו קרייסק"
1526,2511,149,"דקל ננסי שיער זיפי","Teckel Miniature Wire Hair",365,"קאלבו קרייסק"
1526,2511,181,"דקל זעיר ארוך שיער","Teckel Rabbit Long Hair",365,"קאלבו קרייסק"
1526,2511,74,"דקל ננסי ארוך שיער","Teckel Miniature Long Hair",365,"קאלבו קרייסק"
1526,2511,76,"דקל סטנדרט ארוך שיער","Teckel Standard Long Hair",365,"קאלבו קרייסק"
1526,2512,89,"בוסטון טרייר ","Boston Terrier",337,"ביספו פדרו איבו"
1526,2512,55,"בולדוג צרפתי ","French Bulldog ",337,"ביספו פדרו איבו"
1526,2512,87,"פקינז ",Pekingese,337,"ביספו פדרו איבו"
1526,2512,92,"לאסה אפסו","LHASA APSO",337,"ביספו פדרו איבו"
1526,2512,91,"ציוואווה קצר שיער ","CHIHUAHUA SMOOTH HAIR",337,"ביספו פדרו איבו"
1526,2512,13,"ציוואווה ארוך שיער ","CHIHUAHUA LONG HAIR",337,"ביספו פדרו איבו"
1526,2512,165,פפיון,"Continental Toy Spaniel",337,"ביספו פדרו איבו"
1526,2512,96,"פאג ","PUG ",337,"ביספו פדרו איבו"
1526,2512,98,"צ'ין יפני ","Japanese Chin ",337,"ביספו פדרו איבו"
1526,2513,146,"אייריש וולפהאונד ","Irish Wolfhound",304,"רל סקיק"
1526,2513,52,"רודיז'אן רידג'בק ","Rhodesian Ridgeback ",304,"רל סקיק"
1526,2513,112,"כלב רוח איטלקי","Italian Sighthound",304,"רל סקיק"
1526,2513,81,"בורזוי ","Borzoi ",304,"רל סקיק"
1526,2513,83,וויפט,WHIPPET,304,"רל סקיק"
1526,2513,84,"סאלוקי ",Saluki,304,"רל סקיק"
1526,2513,80,"אפגאני ","Afghan Hound ",304,"רל סקיק"
1526,2513,3,ניופאונדלנד,Newfoundland,304,"רל סקיק"
1526,2513,12,"ברנר זננהונד ","Berner Sennenhund",304,"רל סקיק"
1526,2513,57,"לאונברגר ","LEONBERGER ",304,"רל סקיק"
1526,2513,127,"קוקר ספניאל אמריקאי ","American Cocker Spaniel",304,"רל סקיק"
1526,2513,9,"דלמטי ","Dalmatian ",304,"רל סקיק"
1526,2513,72,"ביגל ",Beagle,304,"רל סקיק"
1526,2553,11,"בוביה דה פלנדר ","BOUVIER DES FLANDRES",0,
1526,2553,17,"פולי ","PULI ",0,
1526,2553,18,"קובץ ","KUVASZ ",0,
1526,2553,19,"קומונדור ","KOMONDOR ",0,
1526,2553,53,"מרמנו איטלקי ","PASTORE MAREMMAN0 ",0,
1526,2553,54,"פסטורה ברגמסקו ","BERGAMASCO ",0,
1526,2553,104,"בוסרון (ברגר דה בוס)","BEAUCERON ",0,
1526,2553,125,"דירהאונד ","DEERHOUND ",0,
1526,2553,176,"אזווק ","AZAWAKH ",0,
1526,2553,1013,"גרייהאונד ספרדי","Galgo Espanol",0,
1526,2553,85,"סלוגי ","SLOUGHI ",0,
1526,2553,82,"גרייהאונד ","GREYHOUND ",0,
1526,2553,117,"רועים קטלוני ","CATALAN SHEEPDOD ",0,
1526,2553,166,"כלב רועים פולני ","TATRA SHEPHERD DOD ",0,
1526,2553,189,"קובץ' סלובקי ","SLOVAKIAN CHUVACH",0,
1526,2553,177,"כלב רועים הולנדי שיער זיפי","HERDERSHOND HOLLAND",0,
1526,2553,188,"כלב צאן פולני מהשפלה","Pol. Lowland Sheepdog",0,
1526,2553,67,"אקיטה (טרם עבר מיון)","AKITA (SEPARATION) ",0,
1526,2553,109,"פרעה ","PHARAOH HOUND ",0,
1526,2553,182,"לפינקוירה ","LAPINKOIRA ",0,
1526,2553,1008,פאלן,Phalene,0,
1526,2553,4,"דוגו ארגנטינו ","Dogo Argentino",0,
1526,2553,14,"כלב הרים פירינאי ","PYRENEAN MOUNTAIN DOG ",0,
1526,2553,24,"הווורט ","HOVAWART ",0,
1526,2553,26,"רוטווילר ","Rottweiler ",0,
1526,2553,56,"מסטיף אנגלי ","ENGLISH MASTIFF ",0,
1526,2553,69,"פילה ברזילירו ","FILA BRASILEIRO ",0,
1526,2553,141,"מסטיף ספרדי ","SPANISH MASTIFF ",0,
1526,2553,164,"טוסה ",TOSA,0,
1526,2553,44,"בול טרייר ","BULL TERRIER ",0,
