show_id,sagir_id,registration_id,paid,payments_count,total_amount,arena_id,class_id
1378,16199,17599,1,1,460,2174,309389
1378,17407,19786,1,1,645,2174,309326
1378,18320,17600,1,1,460,2174,309453
1378,18957,16826,1,1,330,2174,309470
1378,19289,19645,1,1,195,2174,309389
1378,19683,19665,1,1,195,2174,309389
1378,118376,18506,1,1,685,2174,309312
1378,131260,18154,1,1,460,2174,309306
1378,136499,18155,1,1,460,2174,309309
1378,137217,20070,1,1,390,2174,309549
1378,138438,17821,1,1,330,2174,309626
1378,138894,19574,1,1,195,2174,309259
1378,139468,19135,1,1,370,2174,309306
1378,140325,19788,1,1,645,2174,309550
1378,142147,19809,1,1,150,2174,309630
1378,144596,19074,1,1,895,2174,309326
1378,145332,19510,1,1,370,2174,309564
1378,145404,17850,1,1,175,2174,309385
1378,145761,19136,1,1,370,2174,309309
1378,146536,18775,1,1,175,2174,309278
1378,146980,19702,1,1,195,2174,309549
1378,148106,16936,1,1,295,2174,309405
1378,148185,19789,1,1,645,2174,309325
1378,148461,19465,1,1,195,2174,309258
1378,148563,18276,1,1,175,2174,309390
1378,148977,17594,1,1,175,2174,309262
1378,149834,18992,1,1,175,2174,309545
1378,150709,18973,1,1,175,2174,309771
1378,150766,19993,1,1,645,2174,309546
1378,151065,18156,1,1,460,2174,309326
1378,151567,19065,1,1,195,2174,309386
1378,152422,20018,1,1,100,2174,309787
1378,153055,16716,1,1,330,2174,309545
1378,153334,18610,1,1,175,2174,309322
1378,385779,20013,1,1,140,2174,309631
1378,1000100,17901,1,1,175,2174,309545
1378,1000167,18049,1,1,175,2174,309389
1378,1000221,18949,1,1,175,2174,309774
1378,1000269,19994,1,1,645,2174,309629
1378,1000861,18186,1,1,175,2174,309771
1378,1000864,17785,1,1,175,2174,309259
1378,1000890,16925,1,1,175,2174,309449
1378,1001061,18100,1,1,175,2174,309259
1378,1001062,16746,1,1,175,2174,309402
1378,1001157,18934,1,1,155,2174,309262
1378,1001166,20124,0,0,0,2174,309257
1378,1001491,18981,1,1,330,2174,309623
1378,1001493,19902,1,1,195,2174,309624
1378,1001513,17530,1,1,175,2174,309385
1378,1001719,19651,1,1,195,2174,309257
1378,1001841,19534,1,1,195,2174,309561
1378,1001924,18985,1,1,175,2174,309771
1378,1003761,16769,1,1,175,2174,309769
1378,1003966,20093,1,1,195,2174,309543
