show_id,arena_id,class_id,sagir_id,has_result,result_data_id
1378,2174,309252,1016570,0,0
1378,2174,309252,1017461,0,0
1378,2174,309252,1017462,0,0
1378,2174,309252,1019518,0,0
1378,2174,309253,1017374,0,0
1378,2174,309254,1017375,0,0
1378,2174,309257,1001166,0,0
1378,2174,309257,1001719,0,0
1378,2174,309257,1004080,0,0
1378,2174,309258,148461,0,0
1378,2174,309259,138894,0,0
1378,2174,309259,1000864,0,0
1378,2174,309259,1001061,0,0
1378,2174,309262,148977,0,0
1378,2174,309262,1001157,0,0
1378,2174,309270,1021121,1,55016
1378,2174,309270,1021121,1,55017
1378,2174,309270,1021121,1,55018
1378,2174,309278,146536,1,55025
1378,2174,309301,1019017,0,0
1378,2174,309302,1019018,0,0
1378,2174,309302,1019265,0,0
1378,2174,309306,131260,0,0
1378,2174,309306,139468,0,0
1378,2174,309309,136499,0,0
1378,2174,309309,145761,0,0
1378,2174,309312,118376,0,0
1378,2174,309318,1016330,1,55091
1378,2174,309322,153334,1,55100
1378,2174,309325,148185,1,55080
1378,2174,309326,17407,1,55104
1378,2174,309326,144596,1,55114
1378,2174,309326,151065,1,55119
1378,2174,309381,1009536,1,55342
1378,2174,309381,1016242,1,55332
1378,2174,309381,1021397,1,55347
1378,2174,309382,1017331,1,55401
1378,2174,309384,1005059,1,55408
1378,2174,309385,145404,1,55356
1378,2174,309385,1001513,1,55359
1378,2174,309386,151567,1,55415
1378,2174,309386,151567,1,55416
1378,2174,309389,16199,1,55364
1378,2174,309389,19289,1,55377
1378,2174,309389,19289,1,55378
1378,2174,309389,19289,1,55379
1378,2174,309389,19683,1,55372
1378,2174,309389,1000167,1,55385
1378,2174,309389,1000167,1,55386
1378,2174,309390,148563,1,55424
1378,2174,309390,148563,1,55425
1378,2174,309395,1021195,1,55526
1378,2174,309402,1001062,1,55541
1378,2174,309405,148106,1,55540
1378,2174,309442,1020792,1,55443
1378,2174,309445,1006772,1,55451
1378,2174,309448,1004040,1,55474
1378,2174,309449,1000890,1,55459
1378,2174,309453,18320,1,55463
1378,2174,309463,1004757,1,55046
1378,2174,309470,18957,1,55053
1378,2174,309537,1020521,0,0
1378,2174,309541,1021388,0,0
1378,2174,309542,1006393,0,0
1378,2174,309542,1008944,0,0
1378,2174,309543,1003966,0,0
1378,2174,309543,1016642,0,0
1378,2174,309544,1004522,0,0
1378,2174,309544,1005041,0,0
1378,2174,309544,1005367,0,0
1378,2174,309545,149834,0,0
1378,2174,309545,153055,0,0
1378,2174,309545,1000100,0,0
1378,2174,309546,150766,0,0
1378,2174,309546,1004521,0,0
1378,2174,309549,137217,0,0
1378,2174,309549,146980,0,0
1378,2174,309550,140325,0,0
1378,2174,309557,1019546,1,55488
1378,2174,309561,1001841,1,55495
1378,2174,309562,1005714,1,55509
1378,2174,309564,145332,1,55510
1378,2174,309572,1021389,1,55034
1378,2174,309604,1018995,1,55069
1378,2174,309621,1017647,1,55167
1378,2174,309622,1018903,1,55237
1378,2174,309623,1001491,1,55178
1378,2174,309623,1001491,1,55179
1378,2174,309624,1001493,1,55226
1378,2174,309624,1007232,1,55233
1378,2174,309625,1016566,1,55185
1378,2174,309626,138438,1,55255
1378,2174,309626,1004000,1,55261
1378,2174,309629,1000269,1,55198
1378,2174,309629,1000269,1,55197
1378,2174,309630,142147,1,55268
1378,2174,309631,385779,1,55214
1378,2174,309655,1004059,1,55147
1378,2174,309655,1005250,1,55010
1378,2174,309656,1004058,1,55152
1378,2174,309763,1019609,0,0
1378,2174,309767,1006455,0,0
1378,2174,309769,1003761,0,0
1378,2174,309771,150709,0,0
1378,2174,309771,1000861,0,0
1378,2174,309771,1001924,0,0
1378,2174,309774,1000221,0,0
1378,2174,309787,152422,1,55293
1378,2174,309829,1020659,1,55304
1378,2174,309832,1020658,1,55312
1378,2174,309835,1005978,1,55305
1378,2175,309850,1006053,0,0
1378,2175,309851,1006891,0,0
1378,2175,309852,152782,0,0
1378,2175,309863,1019020,0,0
1378,2175,309864,1019021,0,0
1378,2175,309865,1019027,0,0
1378,2175,309866,1019025,0,0
1378,2175,309867,1014794,0,0
1378,2175,309867,1016583,0,0
1378,2175,309867,1017042,0,0
1378,2175,309869,1014796,0,0
1378,2175,309870,1007206,0,0
1378,2175,309870,1014797,0,0
1378,2175,309870,1014798,0,0
1378,2175,309875,1003889,0,0
1378,2175,309876,151837,0,0
1378,2175,309877,151838,0,0
1378,2175,309877,1000655,0,0
1378,2175,309883,142771,0,0
1378,2175,309886,134231,0,0
1378,2175,309886,151187,0,0
1378,2175,309888,127469,0,0
1378,2175,309889,127471,0,0
1378,2175,309899,150673,0,0
1378,2175,309903,1000651,0,0
1378,2175,309907,1020858,0,0
1378,2175,309909,1018929,0,0
1378,2175,309909,1020295,0,0
1378,2175,309910,1020297,0,0
1378,2175,309911,1016489,0,0
1378,2175,309912,1019611,0,0
1378,2175,309914,1004429,0,0
1378,2175,309914,1004826,0,0
1378,2175,309914,1004921,0,0
1378,2175,309915,148915,0,0
1378,2175,309916,152444,0,0
1378,2175,309919,18160,0,0
1378,2175,309919,143995,0,0
1378,2175,309920,146894,0,0
1378,2175,309920,147772,0,0
1378,2175,309920,147773,0,0
1378,2175,309920,148918,0,0
1378,2175,309921,14865,0,0
1378,2175,309923,1020061,1,55329
1378,2175,309928,1019034,1,55339
1378,2175,309935,1001425,1,55334
1378,2175,309936,1001427,1,55346
1378,2175,309938,126973,1,55351
1378,2175,309940,1020686,0,0
1378,2175,309943,1017741,0,0
1378,2175,309944,1007082,0,0
1378,2175,309945,1016696,0,0
1378,2175,309947,1003145,0,0
1378,2175,309948,150325,0,0
1378,2175,309948,150998,0,0
1378,2175,309948,151496,0,0
1378,2175,309948,1000641,0,0
1378,2175,309951,1000640,0,0
1378,2175,309952,148240,0,0
1378,2175,309959,1015370,1,55581
1378,2175,309961,1005003,1,55582
1378,2175,309961,1006459,1,55594
1378,2175,309962,1015374,1,55629
1378,2175,309964,19688,1,55660
1378,2175,309964,19732,1,55650
1378,2175,309964,1018880,1,55646
1378,2175,309967,18606,1,55602
1378,2175,309967,147956,1,55605
1378,2175,309969,15155,1,55607
1378,2175,309974,1019102,1,55363
1378,2175,309975,1011793,1,55367
1378,2175,309976,1016528,1,55444
1378,2175,309976,1017121,1,55437
1378,2175,309976,1018785,1,55452
1378,2175,309977,1001018,1,55375
1378,2175,309977,1007225,1,55392
1378,2175,309977,1016491,1,55388
1378,2175,309978,1001019,1,55462
1378,2175,309978,1004952,1,55477
1378,2175,309978,1004952,1,55476
1378,2175,309978,1007226,1,55479
1378,2175,309978,1014769,1,55491
1378,2175,309979,151151,1,55362
1378,2175,309979,1003201,1,55406
1378,2175,309979,1005223,1,55400
1378,2175,309980,151148,1,55506
1378,2175,309980,152464,1,55532
1378,2175,309980,152551,1,55527
1378,2175,309980,152552,1,55514
1378,2175,309983,151787,1,55419
1378,2175,309984,19178,1,55558
1378,2175,309984,142951,1,55548
1378,2175,309994,1001025,0,0
1378,2175,310007,1016507,0,0
1378,2175,310009,1002694,0,0
1378,2175,310010,1002696,0,0
1378,2175,310010,1002697,0,0
1378,2175,310010,1005838,0,0
1378,2175,310011,150377,0,0
1378,2175,310012,152181,0,0
1378,2175,310012,1006809,0,0
1378,2175,310015,147611,0,0
1378,2175,310041,1005898,0,0
1378,2175,310043,1005761,0,0
1378,2175,310044,151153,0,0
1378,2175,310044,151154,0,0
1378,2175,310044,152936,0,0
1378,2175,310044,1000646,0,0
1378,2175,310044,1005069,0,0
1378,2175,310060,1001085,0,0
1378,2176,310067,1020968,1,55487
1378,2176,310068,1020970,1,55493
1378,2176,310070,1020357,1,55498
1378,2176,310073,1001140,1,55507
1378,2176,310074,1001141,1,55524
1378,2176,310080,145896,1,55543
1378,2176,310086,1021197,1,55831
1378,2176,310092,145377,1,55850
1378,2176,310092,153370,1,55854
1378,2176,310095,134140,1,55838
1378,2176,310095,134140,1,55837
1378,2176,310095,145374,1,55844
1378,2176,310124,145542,0,0
1378,2176,310124,1000883,1,55858
1378,2176,310124,1001056,0,0
1378,2176,310135,1017146,1,55384
1378,2176,310138,1016508,1,55387
1378,2176,310144,149586,0,0
