show_id,registration_id,payments_count,total_amount
1560,25881,1,180
1560,25889,1,590
1560,25890,1,590
1560,25891,1,590
1560,25892,1,590
1560,25900,1,180
1560,25922,1,340
1560,25923,1,340
1560,25937,1,180
1560,25944,1,180
1560,25989,1,340
1560,25990,1,340
1560,25997,1,305
1560,25998,1,305
1560,25999,1,180
1560,26001,1,180
1560,26002,1,180
1560,26003,1,340
1560,26004,1,340
1560,26008,1,585
1560,26009,1,585
1560,26010,1,585
1560,26011,1,585
1560,26014,1,125
1560,26023,1,305
1560,26024,1,305
1560,26027,1,180
1560,26030,1,340
1560,26031,1,340
1560,26033,1,180
1560,26043,1,530
1560,26044,1,530
1560,26045,1,530
1560,26050,1,125
1560,26051,1,180
1560,26052,1,180
1560,26053,1,395
1560,26054,1,395
1560,26062,1,125
1560,26064,1,180
1560,26074,1,180
1560,26093,1,180
1560,26095,1,180
1560,26119,1,180
1560,26139,1,180
1560,26148,1,180
1560,26162,1,720
1560,26163,1,720
1560,26164,1,720
1560,26169,1,180
1560,26181,1,180
1560,26182,1,340
1560,26183,1,340
1560,26186,1,475
1560,26187,1,475
1560,26188,1,475
1560,26207,1,180
1560,26209,1,180
1560,26210,1,160
1560,26218,1,305
1560,26219,1,305
1560,26220,1,180
1560,26225,1,340
1560,26226,1,340
1560,26240,1,180
1560,26244,1,530
1560,26245,1,530
1560,26246,1,530
1560,26269,1,465
1560,26270,1,465
1560,26271,1,465
1560,26278,1,340
1560,26279,1,340
1560,26284,1,180
1560,26314,1,180
1560,26316,1,180
1560,26320,1,180
1560,26321,1,160
1560,26323,1,180
1560,26328,1,180
1560,26334,1,180
1560,26358,1,305
1560,26359,1,305
1560,26370,1,180
1560,26379,1,340
1560,26380,1,340
1560,26385,1,305
1560,26386,1,305
1560,26387,1,180
1560,26388,1,600
1560,26389,1,600
1560,26390,1,600
1560,26391,1,600
1560,26400,1,585
1560,26401,1,585
1560,26402,1,585
1560,26403,1,585
1560,26404,1,180
1560,26455,1,180
1560,26456,1,180
1560,26457,1,180
1560,26462,1,600
1560,26463,1,600
1560,26464,1,600
1560,26465,1,600
1560,26471,1,180
1560,26475,1,360
1560,26476,1,360
1560,26477,1,795
1560,26478,1,795
1560,26479,1,795
1560,26480,1,795
1560,26481,1,795
1560,26482,1,795
1560,26490,1,180
1560,26492,1,180
1560,26498,1,180
1560,26499,1,160
1560,26512,1,360
1560,26513,1,340
1560,26514,1,340
1560,26516,1,180
1560,26528,1,180
1560,26529,1,180
1560,26530,1,125
1560,26531,1,180
1560,26542,1,180
1560,26544,1,180
1560,26545,1,180
1560,26546,1,125
1560,26547,1,180
1560,26557,1,475
1560,26558,1,475
1560,26559,1,475
1560,26562,1,465
1560,26563,1,465
1560,26564,1,465
1560,26565,1,180
1560,26570,1,180
1560,26571,1,160
1560,26572,1,475
1560,26573,1,475
1560,26574,1,475
1560,26577,1,180
1560,26578,1,180
1560,26581,1,180
1560,26585,1,125
1560,26588,1,180
1560,26589,1,340
1560,26590,1,340
1560,26591,1,180
1560,26592,1,395
1560,26593,1,395
1560,26606,1,180
1560,26607,1,180
1560,26608,1,180
1560,26609,1,180
1560,26611,1,180
1560,26617,1,180
1560,26618,1,180
1560,26620,1,475
1560,26621,1,475
1560,26622,1,475
1560,26623,1,180
1560,26627,1,475
1560,26628,1,475
1560,26629,1,475
1560,26630,1,180
1560,26631,1,530
1560,26632,1,530
1560,26633,1,530
1560,26634,1,250
1560,26635,1,250
1560,26637,1,125
1560,26638,1,125
1560,26640,1,180
1560,26642,1,180
1560,26643,1,475
1560,26644,1,475
1560,26645,1,475
1560,26646,1,180
1560,26647,1,180
1560,26650,1,180
1560,26651,1,180
1560,26652,1,180
1560,26653,1,180
1560,26654,1,180
1560,26656,1,180
1560,26657,1,125
1560,26662,1,465
1560,26663,1,465
1560,26664,1,465
