show_id,arena_id,judges_count,breeds_count,dogs_count
1560,2598,2,15,121
1560,2599,1,8,52
1560,2600,1,20,54
1560,2601,1,8,67
1560,2602,2,15,35
1560,2603,1,15,74
1560,2604,1,16,31
1560,2605,1,10,16
1560,2606,1,18,58
1560,2607,1,6,132
1560,2608,1,120,33
