show_id,arena_id,judge_id,judge_name_he,judge_name_en,breeds_count
1526,2503,246,"מיכאל פפדטוס","Michael Papadatos",12
1526,2504,284,"טלי הלפרין","Tali Halperin",8
1526,2505,337,"ביספו פדרו איבו","Bispo Pedro Ivo",8
1526,2506,304,"רל סקיק","Rale Cekic",15
1526,2508,68,"רוטשילד יוסי","Rotshild Yossef",16
1526,2510,246,"מיכאל פפדטוס","Michael Papadatos",5
1526,2511,365,"קאלבו קרייסק","Kalvo Kriisk",5
1526,2512,337,"ביספו פדרו איבו","Bispo Pedro Ivo",9
1526,2513,304,"רל סקיק","Rale Cekic",6
1526,2566,6,"איתן הנדל","Eytan Hendel",1
