show_id,sagir_id,registration_id,paid,payments_count,total_amount,arena_id,class_id
1560,16199,27057,1,1,990,2598,411938
1560,16900,26806,1,1,125,2598,411811
1560,18320,27058,1,1,990,2598,412000
1560,18558,26572,1,1,475,2598,412177
1560,18573,27059,1,1,990,2598,412001
1560,18920,26387,1,1,180,2598,412016
1560,19692,25937,1,1,180,2598,412172
1560,125770,27036,1,1,525,2598,411859
1560,131885,27348,1,1,145,2598,413092
1560,139658,26455,1,1,180,2598,411852
1560,143007,27079,1,1,180,2598,412172
1560,143534,26182,1,1,340,2598,411933
1560,143602,27266,1,1,540,2598,412112
1560,144607,26734,1,1,180,2598,412128
1560,146536,27245,1,1,200,2598,411825
1560,147597,27254,1,1,200,2598,411805
1560,148106,27169,1,1,200,2598,411952
1560,148212,27075,1,1,180,2598,411937
1560,148231,26278,1,1,340,2598,411807
1560,148563,26003,1,1,340,2598,411937
1560,148582,26589,1,1,340,2598,412093
1560,148977,25889,1,1,590,2598,411809
1560,150590,27315,0,0,0,2598,411873
1560,150766,26757,1,1,180,2598,412097
1560,151399,26627,1,1,475,2598,412093
1560,151662,27099,1,1,180,2598,411853
1560,152421,26727,1,1,180,2598,412339
1560,152422,26987,1,1,180,2598,412338
1560,152905,26904,0,0,0,2598,411856
1560,153165,27280,1,1,200,2598,412093
1560,1000100,26531,1,1,180,2598,412096
1560,1000167,26225,1,1,340,2598,411936
1560,1000189,26932,1,1,535,2598,411807
1560,1000218,27078,1,1,200,2598,412172
1560,1000269,27138,1,1,535,2598,412176
1560,1000365,26004,1,1,340,2598,411933
1560,1000861,25944,1,1,180,2598,412322
1560,1000956,26933,1,1,535,2598,411808
1560,1001062,26804,1,1,340,2598,411953
1560,1001078,27060,1,1,990,2598,411932
1560,1001575,26986,1,1,200,2598,412173
1560,1001576,26988,1,1,200,2598,412173
1560,1001841,27312,1,1,200,2598,412112
1560,1001906,27230,1,1,200,2598,412319
1560,1002664,25990,1,1,340,2598,411853
1560,1002969,27296,1,1,200,2598,412173
1560,1003177,26718,1,1,465,2598,412172
1560,1003217,26573,1,1,475,2598,412173
1560,1003761,27211,1,1,200,2598,412318
1560,1004080,26209,1,1,180,2598,411804
1560,1004508,26650,1,1,180,2598,412029
1560,1004757,26839,1,1,305,2598,412016
1560,1005059,27061,1,1,990,2598,411937
1560,1005302,26903,0,0,0,2598,412208
1560,1005367,27186,1,1,380,2598,412097
1560,1005449,26755,1,1,180,2598,412319
1560,1005454,26756,1,1,160,2598,412318
1560,1005466,26928,1,1,200,2598,412028
1560,1005867,26574,1,1,475,2598,412172
1560,1005978,27139,1,1,535,2598,412386
1560,1006455,26809,1,1,180,2598,412318
1560,1006904,26052,1,1,180,2598,411932
1560,1006907,26051,1,1,180,2598,411933
1560,1007232,26053,1,1,395,2598,412177
1560,1012734,27116,1,1,205,2598,412300
1560,1016242,26183,1,1,340,2598,411932
1560,1016467,27108,1,1,200,2598,412093
1560,1016468,27192,1,1,200,2598,412093
1560,1016570,27223,1,1,200,2598,411803
1560,1016642,26590,1,1,340,2598,412096
1560,1017062,26716,1,1,465,2598,412173
1560,1017458,26787,1,1,340,2598,411802
1560,1017460,26894,1,1,135,2598,411805
1560,1017462,26788,1,1,340,2598,411803
1560,1017670,26968,0,0,0,2598,411872
1560,1018848,27140,1,1,535,2598,412091
1560,1018995,27106,1,1,200,2598,412155
1560,1019279,26001,1,1,180,2598,411936
1560,1019518,25890,1,1,590,2598,411805
1560,1020054,27294,1,1,380,2598,412092
1560,1020562,26609,1,1,180,2598,411930
1560,1020792,27062,1,1,990,2598,411995
1560,1020806,26934,1,1,535,2598,411800
1560,1021197,27219,0,0,0,2598,412653
1560,1021283,26628,1,1,475,2598,412089
1560,1021388,27179,1,1,200,2598,412092
1560,1021397,27240,1,1,735,2598,411930
1560,1021806,26226,1,1,340,2598,411931
1560,1021856,26631,1,1,530,2598,412296
1560,1021860,26632,1,1,530,2598,412297
1560,1021875,26880,1,1,340,2598,412169
1560,1021978,25989,1,1,340,2598,411848
1560,1021980,26663,1,1,465,2598,411849
1560,1022178,27038,1,1,525,2598,412203
1560,1022230,26054,1,1,395,2598,412168
1560,1022341,26794,1,1,180,2598,412169
1560,1022439,26618,1,1,180,2598,411994
1560,1023739,26805,1,1,340,2598,411948
1560,1023798,27185,1,1,200,2598,412088
1560,1023799,27158,1,1,200,2598,412089
1560,1024449,26646,1,1,180,2598,411816
1560,1024539,26064,1,1,180,2598,412088
1560,1024637,26729,1,1,180,2598,411865
1560,1024682,27203,1,1,200,2598,411928
1560,1024720,26791,1,1,360,2598,412104
1560,1024945,26279,1,1,340,2598,412313
1560,1025316,27295,1,1,380,2598,412092
1560,1025325,27178,1,1,145,2598,411797
1560,1025490,26881,1,1,340,2598,412168
1560,1025519,26879,1,1,920,2598,411865
1560,1025817,27187,1,1,380,2598,412088
1560,1025848,26840,1,1,305,2598,412007
1560,1026318,26941,1,1,145,2598,412150
1560,1026333,27330,0,0,0,2598,411797
1560,1026344,25891,1,1,590,2598,411797
1560,1026346,25892,1,1,590,2598,411797
1560,1026377,27142,1,1,145,2598,412085
1560,1026379,27241,1,1,735,2598,411929
1560,1026634,26629,1,1,475,2598,412089
1560,1026983,26633,1,1,530,2598,412302
1560,1027316,27306,1,1,145,2598,412005
1560,16849,26647,1,1,180,2599,412467
1560,19047,26565,1,1,180,2599,412579
1560,19178,26545,1,1,180,2599,412547
1560,138977,26385,1,1,305,2599,412448
1560,141528,26169,1,1,180,2599,412578
1560,142771,26656,1,1,180,2599,412446
1560,143995,26033,1,1,180,2599,412482
1560,145416,26783,1,1,180,2599,412441
1560,147772,26942,1,1,610,2599,412483
1560,149304,27281,0,0,0,2599,412547
1560,150325,26577,1,1,180,2599,412515
1560,151837,26643,1,1,475,2599,412447
1560,152180,26816,1,1,180,2599,412575
1560,152293,26652,1,1,180,2599,412440
1560,152444,26943,1,1,610,2599,412483
1560,1000290,26320,1,1,180,2599,412531
1560,1000651,26735,1,1,180,2599,412466
1560,1003201,27091,1,1,200,2599,412546
1560,1005838,26578,1,1,180,2599,412575
1560,1006809,27191,1,1,200,2599,412579
1560,1006891,26769,1,1,180,2599,412418
1560,1014769,26703,1,1,835,2599,412543
1560,1014796,26891,1,1,180,2599,412436
1560,1014797,26644,1,1,475,2599,412437
1560,1015374,26944,1,1,610,2599,412531
1560,1016489,27135,1,1,200,2599,412478
1560,1017121,26704,1,1,835,2599,412541
1560,1017741,27171,1,1,200,2599,412508
1560,1018785,26321,1,1,160,2599,412541
1560,1018929,26945,1,1,130,2599,412482
1560,1019020,27124,1,1,200,2599,412430
1560,1019021,26820,1,1,180,2599,412435
1560,1019027,26608,1,1,180,2599,412436
1560,1020061,25881,1,1,180,2599,412492
1560,1020296,26547,1,1,180,2599,412476
1560,1020686,27311,1,1,200,2599,412509
1560,1021614,27337,1,1,1200,2599,414829
1560,1023210,26246,1,1,530,2599,412490
1560,1023731,27338,1,1,1200,2599,414827
1560,1023732,27339,1,1,1200,2599,414827
1560,1024277,27238,1,1,200,2599,412410
1560,1024436,26705,1,1,835,2599,412539
1560,1024774,26471,1,1,180,2599,412474
1560,1024948,27073,1,1,145,2599,412428
1560,1025317,26645,1,1,475,2599,412433
1560,1025388,26546,1,1,125,2599,412521
1560,1025390,26585,1,1,125,2599,412520
1560,1025473,26651,1,1,180,2599,412523
1560,1026237,26706,1,1,835,2599,412535
1560,1026315,26707,1,1,835,2599,412537
1560,1026877,26310,0,0,0,2599,412441
1560,1026939,26638,1,1,125,2599,412521
1560,129794,26637,1,1,125,2600,413061
1560,131365,26657,1,1,125,2600,413092
1560,137288,26284,1,1,180,2600,412739
1560,145374,26867,1,1,340,2600,412658
1560,145377,26868,1,1,340,2600,412659
1560,146581,27239,1,1,735,2600,412979
1560,149586,26721,1,1,340,2600,412707
1560,152673,26404,1,1,180,2600,412975
1560,152931,27251,1,1,380,2600,413091
1560,1000198,26888,1,1,340,2600,412787
1560,1000532,26889,1,1,340,2600,412787
1560,1001225,26027,1,1,180,2600,413087
1560,1001686,27055,1,1,200,2600,412687
1560,1002072,26812,1,1,180,2600,413090
1560,1002839,27284,1,1,200,2600,412882
1560,1003494,26753,1,1,340,2600,412959
1560,1004644,26842,1,1,925,2600,413091
1560,1004651,26929,1,1,200,2600,413087
1560,1004956,26654,1,1,180,2600,412654
1560,1005403,27259,1,1,200,2600,412978
1560,1005729,26853,0,0,0,2600,413087
1560,1006380,25900,1,1,180,2600,412750
1560,1006589,26559,1,1,475,2600,413166
1560,1012034,27307,1,1,200,2600,413086
1560,1016337,26981,1,1,200,2600,412850
1560,1016747,26754,1,1,340,2600,412963
1560,1017146,26722,1,1,340,2600,412700
1560,1017594,26686,1,1,180,2600,413090
1560,1017595,26784,1,1,180,2600,413084
1560,1017597,26750,1,1,180,2600,413084
1560,1020901,26581,1,1,180,2600,412754
1560,1020970,27167,1,1,770,2600,412637
1560,1021295,26210,1,1,160,2600,412972
1560,1021702,27041,1,1,200,2600,413083
1560,1021709,26847,1,1,925,2600,413083
1560,1022924,27253,1,1,180,2600,413085
1560,1023462,27197,1,1,500,2600,412731
1560,1023592,27329,1,1,400,2600,412970
1560,1023593,27137,1,1,200,2600,412971
1560,1023708,26849,1,1,925,2600,413082
1560,1024321,27227,1,1,200,2600,412650
1560,1024672,26800,1,1,180,2600,412955
1560,1024679,26139,1,1,180,2600,412746
1560,1025569,26634,1,1,250,2600,412744
1560,1025571,26635,1,1,250,2600,412745
1560,1025574,26807,1,1,125,2600,412745
1560,1026136,26186,1,1,475,2600,412973
1560,1026137,26187,1,1,475,2600,412973
1560,1026138,26188,1,1,475,2600,412972
1560,1026896,26979,0,0,0,2600,413079
1560,1026897,26984,1,1,290,2600,413079
1560,1027088,27226,1,1,200,2600,413084
1560,1027124,27032,1,1,180,2600,412730
1560,1027307,27242,1,1,735,2600,412970
1560,17861,26759,1,1,465,2601,413378
1560,18672,27128,1,1,200,2601,413538
1560,19111,26717,1,1,180,2601,413522
1560,19255,26462,1,1,600,2601,413250
1560,19279,26093,1,1,180,2601,413251
1560,19383,27098,1,1,200,2601,413603
1560,139787,26760,1,1,465,2601,413379
1560,141737,27113,1,1,200,2601,413315
1560,148050,26692,1,1,180,2601,413538
1560,151473,26826,1,1,475,2601,413250
1560,151474,26827,1,1,475,2601,413251
1560,151974,27039,1,1,200,2601,413487
1560,153259,26620,1,1,475,2601,413410
