show_id,registration_id,payments_count,total_amount
1526,23792,1,460
1526,23793,1,460
1526,23794,1,460
1526,23797,1,120
1526,23803,1,460
1526,23804,1,460
1526,23805,1,460
1526,23809,1,175
1526,23816,1,175
1526,23822,1,175
1526,23824,1,175
1526,23825,1,155
1526,23826,1,175
1526,23835,1,175
1526,23836,1,805
1526,23837,1,805
1526,23838,1,805
1526,23839,1,805
1526,23840,1,805
1526,23841,1,805
1526,23853,1,175
1526,23856,1,580
1526,23857,1,580
1526,23858,1,580
1526,23859,1,580
1526,23867,1,175
1526,23879,1,175
1526,23880,1,175
1526,23897,1,175
1526,23899,1,460
1526,23900,1,460
1526,23901,1,460
1526,23906,1,330
1526,23907,1,330
1526,23913,1,580
1526,23914,1,580
1526,23915,1,580
1526,23916,1,580
1526,23936,1,460
1526,23937,1,460
1526,23938,1,460
1526,23939,1,175
1526,23942,1,330
1526,23943,1,330
1526,23944,1,175
1526,23948,1,175
1526,23949,1,155
1526,23957,1,175
1526,23961,1,175
1526,23969,1,175
1526,23970,1,175
1526,24009,1,175
1526,24010,1,175
1526,24012,1,175
1526,24026,1,175
1526,24027,1,175
1526,24030,1,1280
1526,24031,1,1280
1526,24032,1,1280
1526,24033,1,1280
1526,24034,1,1280
1526,24035,1,1280
1526,24044,1,350
1526,24060,1,330
1526,24061,1,330
1526,24062,1,175
1526,24064,1,175
1526,24080,1,630
1526,24081,1,630
1526,24082,1,630
1526,24083,1,630
1526,24084,1,105
1526,24098,1,350
1526,24101,1,450
1526,24102,1,450
1526,24103,1,450
1526,24109,1,175
1526,24113,1,175
1526,24120,1,580
1526,24121,1,580
1526,24122,1,580
1526,24123,1,580
1526,24124,1,185
1526,24125,1,185
1526,24130,1,330
1526,24131,1,330
1526,24143,1,175
1526,24145,1,120
1526,24154,1,175
1526,24158,1,175
1526,24169,1,350
1526,24180,1,175
1526,24197,1,175
1526,24199,1,350
1526,24208,1,175
1526,24229,1,175
1526,24238,1,175
1526,24270,1,175
1526,24271,1,175
1526,24277,1,175
1526,24281,1,155
1526,24294,1,175
1526,24295,1,845
1526,24296,1,845
1526,24297,1,845
1526,24298,1,845
1526,24299,1,845
1526,24300,1,845
1526,24301,1,845
1526,24308,1,175
1526,24309,1,155
1526,24311,1,175
1526,24312,1,460
1526,24313,1,460
1526,24314,1,460
1526,24315,1,590
1526,24316,1,590
1526,24317,1,590
1526,24318,1,590
1526,24319,1,590
1526,24321,1,175
1526,24322,1,175
1526,24324,1,735
1526,24325,1,735
1526,24326,1,735
1526,24327,1,735
1526,24328,1,735
1526,24333,1,120
1526,24334,1,175
1526,24335,1,175
1526,24336,1,175
1526,24337,1,460
1526,24338,1,460
1526,24339,1,460
1526,24340,1,175
1526,24344,1,330
1526,24345,1,330
1526,24347,1,120
1526,24349,1,175
1526,24350,1,175
1526,24351,1,175
1526,24352,1,175
1526,24353,1,175
1526,24354,1,175
1526,24355,1,175
1526,24356,1,155
1526,24357,1,175
1526,24358,1,155
1526,24359,1,330
1526,24360,1,330
1526,24366,1,175
1526,24367,1,175
1526,24368,1,175
1526,24375,1,175
1526,24376,1,175
1526,24377,1,155
1526,24378,1,645
1526,24379,1,645
1526,24380,1,645
1526,24381,1,645
1526,24382,1,645
1526,24383,1,120
1526,24384,1,510
1526,24385,1,510
1526,24386,1,510
1526,24387,1,175
1526,24388,1,175
1526,24389,1,175
1526,24390,1,175
1526,24393,1,330
1526,24394,1,330
1526,24395,1,175
1526,24396,1,175
1526,24399,1,175
1526,24400,1,910
1526,24401,1,910
1526,24402,1,910
1526,24403,1,910
1526,24404,1,910
1526,24405,1,910
1526,24408,1,175
1526,24409,1,295
1526,24410,1,295
1526,24411,1,120
1526,24412,1,175
1526,24414,1,175
1526,24415,1,175
1526,24424,1,120
1526,24425,1,175
1526,24426,1,425
1526,24427,1,425
1526,24428,1,425
1526,24429,1,425
1526,24430,1,425
1526,24431,1,570
1526,24432,1,570
1526,24433,1,570
1526,24434,1,570
1526,24436,1,295
1526,24437,1,295
1526,24445,1,450
1526,24446,1,450
1526,24447,1,450
1526,24448,1,330
1526,24449,1,330
1526,24450,1,330
1526,24451,1,330
1526,24452,1,1005
1526,24453,1,1005
1526,24454,1,1005
1526,24455,1,1005
1526,24456,1,1005
1526,24457,1,1005
1526,24458,1,1005
1526,24459,1,1005
1526,24460,1,460
1526,24461,1,460
1526,24462,1,460
1526,24463,1,330
1526,24464,1,330
1526,24465,1,175
1526,24466,1,105
1526,24467,1,175
1526,24468,1,175
1526,24469,1,155
1526,24472,1,175
1526,24474,1,175
1526,24476,1,175
1526,24481,1,175
1526,24483,1,175
1526,24484,1,175
1526,24485,1,330
1526,24486,1,330
1526,24487,1,175
1526,24488,1,175
1526,24489,1,155
1526,24492,1,330
1526,24493,1,330
1526,24494,1,175
1526,24495,1,175
1526,24496,1,120
1526,24498,1,175
1526,24499,1,175
1526,24500,1,175
1526,24503,1,175
1526,24507,1,80
1526,24508,1,175
1526,24511,1,175
1526,24512,1,295
1526,24513,1,295
1526,24518,1,240
1526,24519,1,240
1526,24520,1,240
1526,24521,1,120
1526,24522,1,175
1526,24523,1,175
1526,24526,1,120
1526,24527,1,175
1526,24528,1,175
1526,24529,1,175
1526,24530,1,155
1526,24532,1,175
1526,24533,1,175
1526,24535,1,120
1526,24536,1,175
1526,24537,1,120
1526,24538,1,175
1526,24539,1,120
1526,24542,1,80
1526,24543,1,175
1526,24544,1,330
1526,24545,1,330
1526,24547,1,175
1526,24548,1,330
1526,24549,1,330
1526,24550,1,460
1526,24551,1,460
1526,24552,1,460
1526,24554,1,175
1526,24555,1,330
1526,24556,1,330
1526,24557,1,120
1526,24558,1,175
1526,24560,1,120
1526,24561,1,330
1526,24562,1,330
1526,24563,1,175
1526,24564,1,175
1526,24566,1,175
1526,24567,1,330
1526,24568,1,330
1526,24569,1,175
1526,24570,1,175
1526,24575,1,460
1526,24576,1,460
1526,24577,1,460
1526,24579,1,120
1526,24580,1,175
1526,24583,1,175
1526,24584,1,295
1526,24585,1,295
1526,24586,1,175
1526,24587,1,175
1526,24589,1,175
1526,24590,1,175
1526,24591,1,120
1526,24593,1,175
1526,24594,1,330
1526,24595,1,330
1526,24599,1,120
1526,24600,1,175
1526,24602,1,175
1526,24603,1,175
1526,24604,1,175
1526,24606,1,120
1526,24607,1,350
1526,24608,1,295
1526,24609,1,295
1526,24610,1,80
1526,24611,1,175
1526,24623,1,175
1526,24624,1,350
1526,24625,1,470
1526,24626,1,470
1526,24627,1,470
1526,24628,1,105
1526,24630,1,460
1526,24631,1,460
1526,24632,1,460
1526,24633,1,175
1526,24634,1,175
1526,24640,1,580
1526,24641,1,580
1526,24642,1,580
1526,24643,1,580
1526,24644,1,175
1526,24648,1,175
1526,24649,1,175
1526,24651,1,175
1526,24653,1,175
1526,24658,1,295
1526,24659,1,295
1526,24660,1,175
1526,24661,1,175
1526,24662,1,175
1526,24663,1,175
1526,24668,1,175
1526,24669,1,175
1526,24670,1,120
1526,24671,1,240
1526,24672,1,240
1526,24673,1,175
1526,24676,1,460
1526,24677,1,460
1526,24678,1,460
1526,24679,1,175
1526,24681,1,155
1526,24684,1,205
1526,24685,1,175
1526,24688,1,295
1526,24689,1,295
1526,24690,1,460
1526,24691,1,460
1526,24692,1,460
1526,24694,1,175
1526,24696,1,175
1526,24700,1,175
1526,24701,1,175
1526,24703,1,155
1526,24705,1,175
1526,24708,1,120
1526,24709,1,465
1526,24710,1,465
1526,24711,1,465
1526,24714,1,460
1526,24715,1,460
1526,24716,1,460
1526,24726,1,175
1526,24727,1,175
1526,24728,1,330
1526,24729,1,330
1526,24731,1,460
1526,24732,1,460
1526,24733,1,460
1526,24734,1,565
1526,24735,1,565
1526,24736,1,565
1526,24737,1,565
1526,24738,1,175
1526,24739,1,175
1526,24740,1,175
1526,24741,1,330
1526,24742,1,330
1526,24747,1,175
1526,24748,1,175
1526,24749,1,570
1526,24750,1,570
1526,24751,1,570
1526,24752,1,570
1526,24754,1,330
1526,24755,1,330
1526,24757,1,175
1526,24758,1,155
1526,24759,1,175
1526,24760,1,175
1526,24761,1,175
1526,24765,1,175
1526,24766,1,175
1526,24767,1,175
1526,24768,1,175
1526,24770,1,175
1526,24771,1,175
1526,24785,1,175
1526,24786,1,175
1526,24787,1,120
1526,24789,1,175
1526,24790,1,120
1526,24791,1,175
1526,24792,1,175
1526,24795,1,330
1526,24796,1,330
1526,24799,1,175
1526,24801,1,175
1526,24802,1,460
1526,24803,1,460
1526,24804,1,460
1526,24807,1,460
1526,24808,1,460
1526,24809,1,460
1526,24811,1,175
1526,24812,1,350
1526,24813,1,175
1526,24823,1,330
1526,24824,1,330
1526,24825,1,155
1526,24827,1,120
1526,24828,1,330
1526,24829,1,330
1526,24830,1,175
1526,24831,1,765
1526,24832,1,765
1526,24833,1,765
1526,24834,1,765
1526,24835,1,765
1526,24836,1,765
1526,24837,1,175
1526,24839,1,460
1526,24840,1,460
1526,24841,1,460
1526,24844,1,120
1526,24845,1,175
1526,24846,1,175
1526,24847,1,175
1526,24848,1,175
1526,24849,1,175
1526,24853,1,175
1526,24854,1,175
1526,24855,1,120
1526,24857,1,175
1526,24858,1,175
1526,24860,1,155
1526,24861,1,175
1526,24863,1,175
1526,24867,1,175
1526,24869,1,175
1526,24870,1,175
1526,24871,1,175
1526,24872,1,175
1526,24873,1,175
1526,24874,1,350
1526,24876,1,175
1526,24878,1,175
1526,24880,1,175
1526,24881,1,175
1526,24883,1,155
1526,24885,1,175
1526,24886,1,175
1526,24887,1,175
1526,24888,1,175
1526,24889,1,460
1526,24890,1,460
1526,24891,1,460
1526,24892,1,175
1526,24895,1,175
1526,24896,1,175
1526,24897,1,175
1526,24898,1,175
1526,24901,1,225
1526,24902,1,175
1526,24903,1,330
1526,24904,1,330
1526,24905,1,175
1526,24906,1,175
1526,24907,1,175
1526,24908,1,175
1526,24910,1,175
1526,24911,1,175
1526,24912,1,175
1526,24915,1,175
1526,24916,1,120
1526,24917,1,480
1526,24918,1,480
1526,24920,1,130
1526,24922,1,330
1526,24923,1,330
1526,24937,1,175
1526,24938,1,120
1526,24939,1,175
1526,24940,1,120
1526,24942,1,350
1526,24943,1,175
1526,24946,1,175
1526,24947,1,510
1526,24948,1,510
1526,24949,1,510
1526,24954,1,175
1526,24959,1,175
1526,24967,1,330
1526,24968,1,330
1526,24969,1,175
1526,24970,1,155
1526,24971,1,470
1526,24972,1,470
1526,24973,1,470
