445,727,480,KOR.CH,"אלוף קוראה",,23,"2016-06-15 14:10:42.000000","2016-06-15 14:10:42.000000",,,
533,0,618,KOS.CH,"אלוף קוסבו","KOSOVA CHAMPION",1,,,"2024-04-05 10:11:12","2024-04-05 10:11:12",
534,0,619,KOS.GCH,"אלוף על קוסבו","KOSOVA G.CHAMPION",1,,,"2024-04-05 10:15:02","2024-04-05 10:15:02",
526,0,70,KOS.JCH,"אלוף צעיר קוסבו","KOSOVA JUNIOR CHAMPION",9,,,"2023-10-25 09:07:48","2023-10-25 09:07:48",
19,260,20,KUSA.CH,"אלוף דרום אפריקה",,1,"2011-12-26 12:05:10.000000","2009-12-23 13:11:13.200000",,,
314,634,391,KYRG.CH,"אלוף קירג'יסטן",,23,"2012-07-05 08:38:50.000000","2012-07-05 08:38:50.000000",,,
333,651,406,L-CH,.,,61,"2012-09-03 13:18:19.000000","2012-09-03 13:18:19.000000",,,
313,633,390,L-JCH,L-JCH,,13,"2012-05-23 16:17:06.000000","2012-05-23 16:17:06.000000",,,
158,419,170,L-JGD-CH.,,,6,"2009-12-23 13:11:14.183000","2009-12-23 13:11:14.183000",,,
104,355,115,"LAT,RUS-CH",,,4,"2009-12-23 13:11:13.793000","2009-12-23 13:11:13.793000",,,
431,671,426,Lat.Am.CH,"Latin America Champion",,3,"2013-09-09 17:25:43.000000","2013-09-09 17:25:43.000000",,,
32,273,33,LAT.CH,"אלוף לטביה",,552,"2011-11-07 13:32:56.000000","2009-12-23 13:11:13.357000",,,
413,757,509,LAT.JCH,"אלוף צעיר לטביה",,7,"2019-12-09 13:39:26.000000","2019-12-09 13:39:26.000000",,,
375,705,459,LET.CH,LET,,51,"2015-07-15 15:00:18.000000","2015-07-15 15:00:18.000000",,,
60,302,62,LIB-CH,,,2,"2009-12-23 13:11:13.543000","2009-12-23 13:11:13.543000",,,
24,265,25,LIT.CH,"אלוף ליטא",,978,"2018-10-18 10:23:11.000000","2009-12-23 13:11:13.263000",,,
151,407,164,LIT.JCH,,,43,"2011-07-03 15:23:47.000000","2009-12-23 13:11:14.107000",,,
297,613,370,LT.CH,"אלוף ליטה",,249,"2016-05-24 14:32:09.000000","2011-12-26 14:02:33.000000",,,
229,592,349,LT.JCH,"אלוף ליטה צעיר",,107,"2016-05-24 14:32:10.000000","2011-08-29 16:10:48.000000",,,
98,349,109,LTU-CH,,,106,"2009-12-23 13:11:13.763000","2009-12-23 13:11:13.763000",,,
190,464,224,"LU.B -CH",,,23,"2009-12-23 13:11:14.433000","2009-12-23 13:11:14.433000",,,
68,314,74,LUX.CH,"אלוף לוקסמבורג",,716,"2010-03-31 12:46:36.000000","2009-12-23 13:11:13.607000",,,
157,417,169,LUX.JCH,"אלוף לוקסמבורג צעיר",,48,"2011-03-31 16:04:16.000000","2009-12-23 13:11:14.170000",,,
422,509,269,LV.CH,"אלוף לטביה",,236,"2011-10-30 15:26:04.000000","2010-04-22 11:19:52.000000",,,
39,280,40,LV.JCH,"אלוף לטביה צעיר",,80,"2010-04-01 10:45:59.000000","2009-12-23 13:11:13.433000",,,
99,350,110,MAC.CH,"אלוף מקדוניה",,408,"2011-05-25 12:24:03.000000","2009-12-23 13:11:13.763000",,,
260,570,327,MAC.JCH,"אלוף מקדוניה צעיר",,40,"2018-11-06 15:01:27.000000","2011-05-17 11:36:03.000000",,"2023-10-19 12:51:08",
336,654,409,MAC.VCH,"אלוף מקדוניה קשיש",,1,"2018-11-06 11:55:21.000000","2012-11-20 14:41:47.000000",,"2023-10-19 12:51:37",
409,752,504,MALS.CH,"אלוף מלזיה",,3,"2019-07-22 09:55:40.000000","2019-07-22 09:55:40.000000",,,
221,520,278,MALT.CH,"אלוף מלטה",,13,"2019-07-22 09:49:09.000000","2010-07-01 15:50:36.000000",,,
343,661,416,MALT.JCH,"אלוף מלטה צעיר",,2,"2019-07-22 09:49:15.000000","2013-02-17 11:30:33.000000",,,
140,394,154,MAROK-CH,,,5,"2009-12-23 13:11:14.030000","2009-12-23 13:11:14.030000",,,
37,278,38,MD.CH,,,98,"2017-03-14 13:22:34.000000","2009-12-23 13:11:13.420000",,,
259,568,325,Med.W11,"מנצח הים התיכון 2011",,182,"2011-05-24 13:41:35.000000","2011-05-07 08:25:31.000000",,,
367,689,444,Med.W14,"מנצח הים התיכון 2014",,5,"2014-06-09 07:50:12.000000","2014-06-09 07:50:12.000000",,,
548,0,714,Med.W24,,"מנצח ים התיכון 24",5,,,"2024-10-31 19:17:08","2024-10-31 19:19:05",
127,379,139,Med.Win,"מנצח הים התיכון ",,46,"2011-05-08 08:43:18.000000","2009-12-23 13:11:13.933000",,,
89,338,98,MEX.CH,,,56,"2010-04-01 10:46:49.000000","2009-12-23 13:11:13.700000",,,
257,563,320,MEX.GCH,"אלוף על מקסיקו ",,1,"2012-03-05 15:43:49.000000","2011-04-04 11:52:01.000000",,,
26,267,27,MOL.CH,"אלוף מולדובה",,994,"2011-03-01 15:15:12.000000","2009-12-23 13:11:13.280000",,,
245,547,305,MOL.GCH,"אלוף על מולדובה",,58,"2012-03-05 15:43:35.000000","2011-01-16 18:10:44.000000",,,
251,555,313,MOL.JCH,"אלוף מולדובה צעיר",,98,"2011-03-01 15:15:43.000000","2011-03-01 15:15:43.000000",,,
129,382,142,MONACO.CH,"אלוף מונאקו",,15,"2016-06-06 18:21:15.000000","2009-12-23 13:11:13.967000",,,
296,611,368,"MONT J.CH","אלוף מונטנגרו צעיר",,12,"2013-04-01 11:13:01.000000","2011-12-25 12:59:34.000000",,,
61,303,63,MONT.CH,"אלוף מונטנגרו",,204,"2013-04-01 11:12:47.000000","2009-12-23 13:11:13.543000",,,
491,0,601,MR1,"מונדיאורינג רמה 1","Mondioring Level 1",55,,,"2022-04-11 06:59:19","2022-04-11 06:59:19",
492,0,602,MR2,"מונדיאורינג רמה 2","Mondioring Level 2",13,,,"2022-04-11 06:59:22","2022-04-11 06:59:22",
493,0,603,MR3,"מונדיאורינג רמה 3","Mondioring Level 3",5,,,"2022-04-11 06:59:25","2022-04-11 06:59:25",
7,248,8,N.CH,"אלוף נורבגיה",,154,"2010-04-01 10:47:54.000000","2009-12-23 13:11:13.043000",,,
142,396,156,NED&INT.CH,,,74,"2009-12-23 13:11:14.043000","2009-12-23 13:11:14.043000",,,
