347,665,420,TLV.JW-13,"מנצח תל אביב צעיר 2013",,51,"2013-04-06 13:51:01.000000","2013-04-06 13:51:01.000000",,,
517,0,613,TLV.JW-23,"מנצח תל אביב צעיר 2023","מנצח תל אביב צעיר 2023",108,,,"2023-05-28 09:46:11","2023-05-28 09:46:11",
542,0,708,TLV.JW-24,,"מנצח תל אביב צעיר 2024",98,,,"2024-07-27 15:55:19","2024-07-27 15:55:19",
519,0,615,TLV.VW-23,"מנצח תל אביב קשיש 2023","מנצח תל אביב קשיש 2023",26,,,"2023-05-28 09:48:31","2023-05-28 09:48:31",
543,0,709,TLV.VW-24,,"מנצח תל אביב קשיש 2024",27,,,"2024-07-27 15:56:19","2024-07-27 15:56:19",
86,335,95,TLV.W'01,"מנצח תל אביב 2001",,119,"2013-04-06 13:25:42.000000","2009-12-23 13:11:13.683000",,,
225,524,282,TLV.W-10,"מנצח תל אביב  2010",,168,"2013-04-06 13:51:30.000000","2010-07-13 18:31:25.000000",,,
348,666,421,TLV.W-13,"מנצח תל אביב  2013",,147,"2013-04-06 13:52:04.000000","2013-04-06 13:52:04.000000",,,
518,0,614,TLV.W-23,"מנצח תל אביב 2023","מנצח תל אביב 2023",209,,,"2023-05-28 09:46:52","2023-05-28 09:46:52",
541,0,707,TLV.W-24,,"מנצח תל אביב 2024",194,,,"2024-07-21 14:56:15","2024-07-21 14:56:15",
76,323,83,TSJ-CH,,,7,"2009-12-23 13:11:13.637000","2009-12-23 13:11:13.637000",,,
57,299,59,TURK.CH,"אלוף טורקיה",,44,"2012-08-02 10:31:15.000000","2009-12-23 13:11:13.530000",,,
398,699,453,TURK.GCH,"אלוף על של טורקיה ",,1,"2015-01-25 13:34:54.000000","2015-01-25 13:34:54.000000",,,
319,640,397,TURK.JCH,"אלוף טורקיה צעיר",,5,"2012-08-02 10:31:23.000000","2012-07-29 08:24:37.000000",,,
