321,646,401,,"מנצח מז' אירופה",,0,"2017-10-08 17:47:16.000000","2012-08-02 11:59:37.000000",,,
107,358,118,,,,1,"2017-03-01 11:40:44.000000","2009-12-23 13:11:13.827000",,,
189,463,223,,,,10,"2017-03-01 10:05:04.000000","2009-12-23 13:11:14.433000",,,
211,505,265," FCI BH","FCI BH",,518,"2021-06-30 09:15:45.000000","2010-04-18 17:09:23.000000",,,
515,0,549,23-EW,"מנצח אירופה 2023","European Winner 2023",1,,,"2023-05-22 09:43:05","2023-05-22 09:43:05",
514,0,548,23-JEW,"מנצח אירופה צעיר 2023","Junior European Winner 2023",3,,,"2023-05-22 09:40:29","2023-05-22 09:40:29",
380,715,469,????,,,0,"2018-08-16 21:09:00.000000","2015-09-10 09:30:33.000000",,,
415,508,268,????,.,,0,"2018-08-16 21:10:44.000000","2010-04-22 10:34:19.000000",,,
213,507,267,????,0,,0,"2018-08-16 21:05:42.000000","2010-04-22 10:33:54.000000",,,
49,291,51,A.CH,"אלוף אוסטריה",,109,"2010-04-01 10:14:33.000000","2009-12-23 13:11:13.497000",,,
393,586,343,A.JCH,"Junior Champion",,20,"2011-08-24 09:57:34.000000","2011-08-24 09:57:34.000000",,,
405,744,497,A0,"מבחן התאמה לאג'יליטי",,5,"2019-01-17 11:30:39.000000","2019-01-17 11:30:39.000000",,,
449,745,498,A1,"מבדק התאמה לאג'יליטי",,0,"2019-01-17 11:39:30.000000","2019-01-17 11:39:30.000000",,,
450,746,499,A2,"מבדק התאמה לאג'יליטי",,0,"2019-01-17 11:39:46.000000","2019-01-17 11:39:46.000000",,,
451,747,500,A3,"מבדק התאמה לאג'יליטי",,0,"2019-01-17 11:39:59.000000","2019-01-17 11:39:59.000000",,,
473,781,531,AG.CH,"אלוף אג'יליטי ישראלי",,6,"2021-06-12 14:17:14.000000","2021-06-12 14:16:32.000000",,"2022-08-23 12:04:24",
471,779,529,AG1,"אג'יליטי 1",,33,"2021-06-12 14:16:57.000000","2021-06-12 14:15:56.000000",,,
472,780,530,AG2,"אג'יליטי 2",,11,"2021-06-12 14:17:02.000000","2021-06-12 14:16:09.000000",,,
490,798,545,AG3,"אג'יליטי 3",,5,"2021-12-13 15:47:15.000000","2021-12-13 15:47:15.000000",,,
500,0,620,AGW-22,"אלוף אג'יליטי 2022","Agility Winner 2022",2,,,"2022-08-17 10:49:21","2024-05-01 06:19:19",
528,0,7000,AGW-23,"אלוף אג'יליטי 2023","Agility Winner 2023",3,,,"2023-11-28 14:23:15","2024-05-12 17:02:58",
553,0,7001,AGW-24,,"Agility Winner 2024",4,,,"2024-12-19 12:16:50","2024-12-19 12:16:50",
461,769,519,"AKC CH","אלוף אמריקה",,4,"2020-06-03 09:32:02.000000","2020-06-03 09:32:02.000000",,,
560,0,627,ALB.CH,"אלוף אלבניה","Albania Champion",1,,,"2025-05-11 16:00:07","2025-05-11 16:00:07",
117,368,128,ALL-CH,,,37,"2010-01-31 21:21:05.000000","2009-12-23 13:11:13.873000",,,
163,429,175,AM.CH,"אלוף ארה""ב",,1176,"2010-01-31 20:15:54.000000","2009-12-23 13:11:14.247000",,,
287,602,359,AM.GCH,"אלוף על ארה""ב",,40,"2011-12-05 13:08:10.000000","2011-12-05 13:08:10.000000",,,
277,585,342,"AMERICAS .CH","אלוף אמריקס",,1,"2011-08-23 09:03:09.000000","2011-08-23 09:03:09.000000",,,
106,357,117,ARG.CH,"אלוף ארגנטינה",,39,"2012-04-04 11:27:21.000000","2009-12-23 13:11:13.810000",,,
309,628,385,ARG.GCH,"אלוף על ארגנטינה",,5,"2012-04-04 11:27:51.000000","2012-04-04 11:27:51.000000",,,
386,728,481,ARM.CH,"Champion of Armenia",,15,"2016-11-07 10:04:50.000000","2016-11-07 10:04:50.000000",,"2022-08-28 10:03:18",
499,0,610,Arm.JCH,"אלוף צעיר ארמניה","אלוף צעיר ארמניה",1,,,"2022-08-16 14:28:18","2022-08-28 10:15:57",
145,400,160,ASTCH,,,51,"2014-03-06 15:00:53.000000","2009-12-23 13:11:14.077000",,,
63,305,65,AUS.CH,"אלוף אוסטרליה",,202,"2010-04-01 10:15:05.000000","2009-12-23 13:11:13.577000",,,
130,383,143,AUS.GCH,"אלוף על אוסטרליה",,11,"2012-03-28 16:02:57.000000","2009-12-23 13:11:13.967000",,,
133,387,147,AUTR-CH,,,18,"2009-12-23 13:11:13.997000","2009-12-23 13:11:13.997000",,,
330,643,399,AZB-JCH,"אלוף אזרבייג'ן צעיר",,11,"2012-08-02 10:34:22.000000","2012-08-02 10:34:22.000000",,,
278,587,344,AZB.CH,"אלוף אזרבייג'ן",,123,"2012-08-02 10:28:31.000000","2011-08-24 10:02:56.000000",,,
23,264,24,B.CH,"אלוף בלגיה",,88,"2011-11-07 13:32:31.000000","2009-12-23 13:11:13.247000",,,
525,0,69,BAH.JCH,"אלוף בחריין צעיר","אלוף בחריין צעיר",1,,,"2023-09-28 10:58:00","2023-09-28 10:58:00",
79,327,87,BALK.CH,"אלוף בלקן",,324,"2010-05-05 17:55:51.000000","2009-12-23 13:11:13.653000",,,
378,712,466,BALK.GCH,BALK.GCH,,3,"2015-08-23 12:06:40.000000","2015-08-23 12:06:40.000000",,,
241,543,301,BALK.JCH,"אלוף בלקן צעיר",,16,"2010-11-30 13:29:28.000000","2010-11-30 13:29:28.000000",,,
105,356,116,BALT.CH,"אלוף בלטיק",,370,"2011-09-26 15:09:06.000000","2009-12-23 13:11:13.810000",,,
265,562,319,BALT.JCH,"אלוף בלטיק צעיר",,41,"2011-09-26 15:09:34.000000","2011-04-04 10:59:12.000000",,,
116,367,127,BELG.CH,,,263,"2011-11-07 13:34:12.000000","2009-12-23 13:11:13.873000",,,
148,403,162,BELG.GCH,"אלוף על בלגיה ",,8,"2015-11-03 10:12:29.000000","2009-12-23 13:11:14.090000",,,
115,366,126,BelgJCH,"אלוף בלגיה צעיר",,12,"2017-10-24 14:23:52.000000","2009-12-23 13:11:13.873000",,,
362,683,438,BG.CH,BG/CH,,214,"2016-12-22 12:50:52.000000","2014-04-08 08:47:33.000000",,,
480,788,538,BH,"מבלן עבודה",,25,"2021-08-29 11:19:32.000000","2021-08-29 11:19:32.000000",,,
